URI,URILabel,comURI
http://www.wikidata.org/entity/Q4545758,1-800 Contacts,http://www.contacts.com
http://www.wikidata.org/entity/Q4545749,1-800-FREE-411,http://www.marchex.com/
http://www.wikidata.org/entity/Q4545753,1-800-GET-THIN,
http://www.wikidata.org/entity/Q4546003,1000Memories,http://1000memories.com/
http://www.wikidata.org/entity/Q43374781,10Q Reports,https://www.10qreports.com
http://www.wikidata.org/entity/Q56585268,10X Genomics (United States),https://www.10xgenomics.com/
http://www.wikidata.org/entity/Q4549202,1366 Technologies,http://1366tech.com/
http://www.wikidata.org/entity/Q77082516,13Therapeutics (United States),http://www.13therapeutics.com/
http://www.wikidata.org/entity/Q16153666,15Five,http://www.15five.com/
http://www.wikidata.org/entity/Q19867873,16 Handles,http://www.16handles.com
http://www.wikidata.org/entity/Q16824666,1776,http://www.1776dc.com
http://www.wikidata.org/entity/Q4553721,1800Mattress.com,http://www.1800mattress.com
http://www.wikidata.org/entity/Q30298141,1Spatial (United States),http://1spatial.com/
http://www.wikidata.org/entity/Q4596288,1st Constitution Bancorp,http://www.1stconstitution.com/
http://www.wikidata.org/entity/Q61934200,1st Edge (United States),http://1st-edge.com/
http://www.wikidata.org/entity/Q17492298,1st Round Enterprises,
http://www.wikidata.org/entity/Q4596612,1st Source,http://www.1stsource.com/
http://www.wikidata.org/entity/Q4633365,2 Player Productions,http://2playerproductions.com
http://www.wikidata.org/entity/Q307894,2(x)ist,http://www.2xist.com/
http://www.wikidata.org/entity/Q30282457,20/20 GeneSystem (United States),http://2020gene.com/
http://www.wikidata.org/entity/Q17507636,2000 Flushes,http://www.2000flushesbrand.com/
http://www.wikidata.org/entity/Q212076,"2015, Inc.",http://www.2015games.net/
http://www.wikidata.org/entity/Q2084961,20th Century Fox Home Entertainment,http://movies.disney.com/watch-at-home
http://www.wikidata.org/entity/Q30297575,21CSi (United States),https://21csi.wordpress.com
http://www.wikidata.org/entity/Q4631061,21st Century Film Corporation,
http://www.wikidata.org/entity/Q4631070,21st Century Insurance,http://www.21st.com
http://www.wikidata.org/entity/Q4631083,21st Century Medicine,
http://www.wikidata.org/entity/Q4631081,21st Century Newspapers,
http://www.wikidata.org/entity/Q30269404,21st Century Oncology (United States),https://www.21co.com/
http://www.wikidata.org/entity/Q61934202,21st Century Systems (United States),http://www.21stsystems.com/
http://www.wikidata.org/entity/Q30263068,21st Century Technologies (United States),http://www.21ct.com/
http://www.wikidata.org/entity/Q30282459,21st Century Therapeutics (United States),
http://www.wikidata.org/entity/Q4631357,22nd Century Media,http://www.22ndcenturymedia.com
http://www.wikidata.org/entity/Q216272,23andMe,https://www.23andme.com
http://www.wikidata.org/entity/Q4631849,24 Hour Fitness,http://www.24hourfitness.com
http://www.wikidata.org/entity/Q64143010,247Solar Plant (United States),http://www.247solar.com/
http://www.wikidata.org/entity/Q30259064,24M (United States),http://www.24-m.com/
http://www.wikidata.org/entity/Q30282460,2B Technologies (United States),https://www.twobtech.com/
http://www.wikidata.org/entity/Q682039,2D Boy,http://2dboy.com/
http://www.wikidata.org/entity/Q4633991,2si,http://www.2si.com/
http://www.wikidata.org/entity/Q4633246,2Wire,http://www.2Wire.com/
http://www.wikidata.org/entity/Q30263358,3-Sigma Research (United States),http://www.3sigmaresearch.com/4.html
http://www.wikidata.org/entity/Q4635655,360voice,http://360voice.gamerdna.com/
http://www.wikidata.org/entity/Q41568338,3Bar Biologics (United States),http://www.3barbiologics.com/
http://www.wikidata.org/entity/Q30285614,3C Cattle Feeders (United States),
http://www.wikidata.org/entity/Q18148644,3C Institute,http://www.3cisd.com/
http://www.wikidata.org/entity/Q229329,3Com,http://www.3com.com/
http://www.wikidata.org/entity/Q30265320,3D Biomatrix (United States),https://3dbiomatrix.com/
http://www.wikidata.org/entity/Q30289702,3D Glass Solutions (United States),
http://www.wikidata.org/entity/Q30282463,3D Molecular Designs (United States),
http://www.wikidata.org/entity/Q229459,3D Realms,https://3drealms.com/
http://www.wikidata.org/entity/Q18636339,3D Robotics,http://www.3drobotics.com
http://www.wikidata.org/entity/Q4636301,3D Systems,http://www.3dsystems.com
