Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,timestamp
"Tecolote Research
3.8",-1,1973,"Goleta, CA",Aerospace & Defense,"Data Scientist
Location: Albuquerque, NM
Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.
Skills Required:
Bachelor’s Degree in relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit for Master’s degree; five years’ experience credit for a Ph.D
Applicant should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, and working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude
Excellent verbal and written communication skills, and quantitative analytical skills are required
Applicant must be able to work in a team environment
U.S. citizenship and ability to obtain a DoD Secret Clearance required
Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.
Benefits:
We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:
Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance

Benefits are provided to employees regularly working a minimum of 30 hours per week.

Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.",Data Scientist,"Albuquerque, NM",3.8,$50 to $100 million (USD),-1,Aerospace & Defense,501 to 1000 employees,Company - Private,2020-04-01T05:14:14.857689
"PNNL
3.8","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",1965,"Richland, WA",Energy,"*Organization and Job ID**
Job ID: 310709

Directorate: Earth & Biological Sciences

Division: Biological Sciences

Group: Exposure Science Team
*Job Description**
The Biological System Science (BSS) Group in the Biological Sciences Division of the Pacific Northwest National Laboratory (PNNL) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/AI. Preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. Research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. Successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most challenging problems in human health, chemical forensics, and national security. The BSS Group is diverse and inclusive, working closely with colleagues across the laboratory with expertise in computational biology, integrative omics, applied mathematics, computer science, and statistics.

+ Apply knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to to design, development and implement methods that integrate, clean and analyze data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data.

+ Produce solutions driven by exploratory data analysis from complex and high-dimensional datasets.

+ Design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from data.

+ Develop and maintain existing deep learning networks that generate novel molecules for drug discovery applications

+ Contribue or author proposals, peer-reviewed papers, and other technical products.
*Minimum Qualifications**
BS/BA with 0-1 years of experience or MS/MA with 0-1 years of experience
*Preferred Qualifications**
+ MS in chemical engineering, computer science, or related field with a GPA of 3.5+ 5+ years of research experience

+ Intermediate level programming experience (preferably Python) and high-performance computing experience

+ At least one first author published, or proof of submitted, paper applying deep learning for use in novel compound generation

+ Understanding of the NMDA receptor and potential drug targets

+ Research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Biological Systems Science_

_Opening Date:_ _2020-03-26_

_Closing Date:_ _2020-04-05_",Data Scientist,"Richland, WA",3.8,$500 million to $1 billion (USD),-1,"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,2020-04-01T05:14:14.857689
"Dematic
3.9","Intelligrated, Daifuku, Viastore Systems",1819,"Atlanta, GA",Electrical & Electronic Manufacturing,"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Overview:

The KION Group is a global leader in industrial trucks, related services, and supply chain solutions. Across more than 100 countries worldwide, the KION Group deisgns, builds, and supports logistics solutions that optimize material and information flow. KION is the second largest producer of forktrucks globally and the leading provider of warehouse automation.

KION’s Mobile Automation team is focused on developing robust and innovative autonomous vehicle solutions. Typical uses are for industrial or warehouse settings. AGV technology at KION is based on 35 years of real world application with over 8,000 AGVs being provided to customers so far.

About the Position:

We are seeking a highly talented Machine Learning Engineer to join our team. Your day-to-day activities will vary, but will be in the following areas:
Mapping and Localization: Development of advanced techniques for mapping, localization, and pose estimation of mobile robotic systems based on a variety of different sensors (camera, LIDAR, IMU, etc.).
Machine Learning: Developing and applying ML algorithms to the task of building / learning feature-extractors to enhance a vehicle’s spatial perception capabilities and robustness.
Software Development: Assisting in the design and implementation of developer and end-user tools that leverage ML.
What We Are Looking For


Experience/Skill Preferred:
Excellent communication skills
Strong background in machine vision and machine learning methods
Ability to implement new algorithms efficiently and rigorously
Strong quantitative ability
High level of experience with Python and C++ (Rust, Haskell, and/or Scala would also be great!)
Experience working with embedded systems with real-time constraints
Experience with software engineering tools (e.g. git, cmake, gdb, etc.)
Experience developing sotware a part of a team


Travel:
Travel – Up To 5% (including International)",Machine Learning Engineer,"Holland, MI",3.9,Unknown / Non-Applicable,-1,Manufacturing,5001 to 10000 employees,Subsidiary or Business Segment,2020-04-01T05:14:14.857689
Lacima,-1,-1,"London, United Kingdom",-1,"Lacima is a multi-award winning trading and risk management software provider to the energy and commodities markets with offices in Sydney, London and Boulder and a strong international client base. Lacima has been named as a top 100 global risk tech company and has been recognised as the best in the world in energy and commodity pricing and analytics, market risk: power, market risk: gas, modelling and customer support services.

Using our large library of numerical components, Lacima builds trading and risk management tools for clients in the energy, commodities, and financial markets. We employ a talented and highly educated international team of people. Lacima’s client base spans the globe with clients in over twenty countries, including Australia, the UK and the US.

We are looking for an experienced Quantitative Analysts to join our team on a full time basis. The role will be based in our Boulder, Colorado office.

Job Synopsis

You will be responsible for the application of statistical, analytical, programming and finance knowledge to assist in the development of Lacima’s software as well as assisting in Lacima’s consulting assignments. You will achieve this by leveraging Lacima’s existing models and technology to deliver leading edge, client-driven solutions. These cover areas such as risk management, pricing models and simulations. The primary duties and responsibilities of this role include, but are not limited to, the following:

Software

• Attain and display a high level of product intimacy for Lacima’s current software

• Apply mathematical modelling and analysis using Lacima’s existing models and technologies to deliver leading edge analysis libraries and applications for use in the financial, commodity and energy industries

• Perform validation and testing tasks of the software

• Prepare documentation, specify software functionality and develop training materials

• Manage and respond to client help desk queries within Lacima policy timeframes

• Provide clients with expertise in the areas of analytic modeling for risk management, asset valuation, resource planning, and renewable integration

• Serve as a technical resource for scoping, building, deploying, and launch activities

• Provide clients with on-site and web-based software training

• Assist in the preparation and presentation of client specific demonstrations of Lacima’s software

Consulting

• Participate in consulting projects from proposal to completion

• Definine problems, evaluate data, prepare solution specification documents and prepare reports

• Develop computational methods for consulting projects in areas such as time series analysis of market data, pricing models, risk modelling, and numerical modelling

• Assist with project administration

Training

• Participate in the development of training materials

Your Skills

To be successful in this role you must have a practical approach to quantitative analysis with a solid quantitative analyst background. You must have a solid understanding of university level mathematics, with a keen interest in financial markets. You will be self-motivated, be able to learn quickly and have the ability to adapt to new challenges and situations. You will have a professional approach to the job and your colleagues.

The ideal candidate will have:

• A client focused attitude, combined with excellent communication abilities

• A Masters degree with a quantitative emphasis

• At least 2 years quantitative analysis experience in a commercial environment

• Experience with quantitative methods and finance

• Exceptional attention to detail

• Ability to multi-task and deliver to deadlines

• Ability to work in a pro-active fashion to resolve issues

• A self-starter with the ability to work independently as well as part of an international, multi-location team

• Experienced with Excel and VBA

• Knowledge of SQL and C# would be an advantage

• Ability to adapt to new software rapidly

To apply

Remuneration package is competitive and commensurate with experience. To apply, please send your concise curriculum vitae and a brief covering letter outlining your salary expectations to careers@lacimagroup.com. A test of your technical skills will be part of the selection procedure.

We are only accepting direct applications for this role. We are unable to accept applications submitted via headhunters / recruiters.

Due to time constraints, we will only contact applicants who have been selected to progress to later stages in the selection process.",Quantitative Analyst,"Boulder, CO",-1,Unknown / Non-Applicable,-1,-1,1 to 50 employees,Company - Private,2020-04-01T05:14:14.857689
"Carbon3D
4.1",-1,2013,"Redwood City, CA",IT Services,"Working at the intersection of hardware, software, and molecular science, we are committed to delivering on the promise of 3D printing, enabling commercial customers to go beyond basic prototyping to 3D manufacturing.
Our company is built on the idea that when diverse fields of study come together, we are able to solve challenging problems. We have grand dreams to build technology that will influence industries around the world. You will be joining a diverse team with a dynamic culture, where team success is as important as celebrating individual contributions.
Help us change the world, and we will help you change yours.
We are looking for an research scientist to develop novel materials for our 3D printing platform. Materials are at the core of what we do. Our materials are used for applications such as prototyping, dental, biomedical, automotive, aerospace, footwear, investment casting, and many more. You will work as part of a cohesive and high-energy team, but also direct individual projects and have the freedom to execute as you see fit.
Responsibilities:
Draw on academic and patent literature to identify and evaluate new chemistries and formulation strategies to drive continued materials development
Synthesize new monomer and oligomers and evaluate performance both at the component and full formulation levels
Formulate, print and characterize new formulations
Analyze and communicate materials characterization data in a clear, organized manner and make recommendations that allow for informed decision-making
Collaborate with internal teams and customers to define key product requirements, interpret test results, and determine follow-up experiments, to support resin products through commercialization

Requirements:

Bachelors or Masters degree in Chemistry, Chemical Engineering, Polymer Sciences, or Materials Sciences and Engineering
Organized with good time-management skills
Ability to multitask
Experience analyzing and reporting on large data sets
Knowledge in polymer chemistry
Experience/understanding of material properties (mechanical and thermo-mechanical)
Technical writing skills
Eagerness to learn in a fast-paced environment

Preferred Requirements/Experience:

2+ years working in a laboratory setting or in an industrial role
Basic understanding of various polymeric materials (thermoplastics, thermosets, specialty polymers)
Basic understanding of various polymerization reactions and techniques
Any understanding or experiences with large scale production/manufacturing is a bonus
Safety conscious individual who actively promotes safe behavior in the department and takes responsibility for safe lab operations
You do not need to match every listed expectation to apply for this position. Here at Carbon, we know that diverse perspectives foster the innovation we need to be successful, and we are committed to building a team that encompasses a variety of backgrounds, experiences, and skills.",Research Scientist,"Redwood City, CA",4.1,Unknown / Non-Applicable,-1,Information Technology,201 to 500 employees,Company - Private,2020-04-01T05:14:14.857689
"<intent>
4.6","Clicktripz, SmarterTravel",2009,"New York, NY",Internet,"isn’t your usual company. Our work is powered by the premise that every person at is unique, possessing a distinct set of skills, personality, and passions. We embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas, and co-create one of the most human and inspiring work cultures out there. We are a team of collaborators, valuing and rewarding shared success over individual heroics.
As a member of our Data Science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. Data Science is a fundamental contributor to Intent’s success - your work will have a direct and tangible impact on the business.
There are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like Spark, Snowflake, and RedShift, building prototypes using mostly Scala or another functional language, pairing with engineers on the Modeling and Prediction team to harden and deploy the functionality, and running live tests to monitor the results.
All of these steps take place in an environment of respect and collaboration, and the Data Science team is empowered to own its agile processes. Every member of the team is expected to be both a student and teacher, and we believe that the most effective Data Science team is one that is collectively learning and growing. Experience in coaching and mentoring colleagues at all levels is strongly desired. As part of the Data Science team, you’d help build out a real-time predictive analytics platform that makes decisions for some of the largest sites on the web.
About You:
Significant industry experience in several of the following areas: personalized experiences, big data analytics, implementing machine learning & statistical methods, designing and running A/B tests, product design and life cycle, writing production code, designing online auctions.
Experience in user experience customization a plus
Experience coaching and mentoring team members
Experience writing production software in languages like Scala, Clojure, Java, Python, or C++ in an agile, collaborative environment
Experience with handling large amounts of data (TB+) in a production setting
Experience with Spark is a significant plus
Experience in ad-tech a plus
About Us:
is the data science company for the world’s leading online commerce and travel brands. Our Predictive Intelligence Platform uses patented technology to predict user behavior in real-time and identify the future value of every user. Over 450 innovative brands from more than 40 countries trust Intent’s real-time predictions to deliver personalized user experiences that maximize utility and ROI.
Our team is over 100 people and our offices span globally. We’re headquartered in NYC with locations in London, Kuala Lumpur, and Sao Paulo.
Every day, we’re inspired by two pursuits. First, we’re building novel products that are upending e-commerce. Second, we’re building the company we’ve always wanted to work for — one that’s open, human and collaborative, where very smart people come together to share ideas and get things done. We’re included on Built in NYC's Best Places to Work list and have been on Crain’s 100 Best Places to Work in NYC list for seven years running.
Love Your Job!
Our employees enjoy coming to work, and we let them know they're valued.
Our vibrant team accomplishes a lot every day, but we insist upon work/life balance so things never become stale. We don’t take ourselves too seriously, but we take our work very seriously.
We believe that in order for our employees to perform their best, they need access to strategic decisions, and so our flat structure and open communication invite innovation from all levels — ideas flow freely.
We offer competitive compensation, stock options, and great perks & benefits, including:
Unlimited vacation
A generous parental leave policy
A beautiful, dog-friendly office in SoHo with drinks and snacks
An open environment with lots of natural light and roof deck access
Annual $2,000 learning budget and Citi Bike membership
Access to Fond, our employee perks program featuring deals and discounts on hundreds of products and services
Access to Sherpaa, a telehealth service with 24/7
In-office yoga classes
Company-wide social events, and more!
So what are you waiting for? Apply with your resume in just a few clicks!
About Us
Our Products
Our Dogs
Twitter
Instagram",Data Scientist,"New York, NY",4.6,$100 to $500 million (USD),-1,Information Technology,51 to 200 employees,Company - Private,2020-04-01T05:14:14.857689
"Walmart eCommerce
3.2","Amazon, eBay, Google",2000,"San Bruno, CA",Internet,"Position Description

The @WalmartLabs Personalization team consists of platform, application engineers, scientists and product visionaries all working together to design, prototype and build technology-driven products and experiences that will change the future landscape of ecommerce. We are focused on building the global service layer that will enable the end-to-end customer experience, from finding the product to delivering it to the customer. This will span many markets, business models and form factors; therefore, we are looking for engineers who will bring not only an abundance of experiences in technologies, but an abundant curiosity to innovate.
Come join an organization where you'll get to work as part of a world-class team, solve problems that are at a scale few can create, and get to build products that are only bound by the scope of your imagination. Put your footprint on ground up development focused on building brand new products that will impact a Global customer base.

Minimum Qualifications

- PhD + 1 year, MS + 4 years, BS + 6 years of work experience in Computer Science, Machine Learning, Mathematics, Statistics or related fields
Deep knowledge in quantitative analysis and Statistical techniques
Work experience in machine learning models, data mining techniques, natural language processing or related fields
Proficient with at least one modern compiled programming language (Java, C++ etc) and one scripting language(Python, Ruby, PHP, Javascript etc.)
Experience with big data technology (Hadoop, Hive, Spark, etc.) and data processing pipeline
Excellent problem solving and analytical skills
Solid foundation in data structures and algorithms

Additional Preferred Qualifications

- Proven experience to complete complex projects from start to end
Proven background in Distributed Computing, Data Warehousing, ETL development, and large scale data processing
Strong skills in database systems (mySQL) and complex SQL queries is a plus
Experience using open source frameworks (scikit learn, tensorflow, torch, etc.).
Some knowledge in optimization techniques is a plus

Company Summary

Over fifty years ago, Sam Walton started a single mom-and-pop shop and transformed it into the world's biggest retailer. Since those founding days, one thing has remained consistent: helping our customers save money so they can live better. When you join our Walmart family of brands (Sam's Club, Jet.com, Hayneedle, Modcloth, Moosejaw, Bonobos and many more!), you'll play a crucial role in shaping the future of retail, improving millions of lives around the world. Our associates have championed causes like U.S. job expansion, responsible global sourcing, female entrepreneur empowerment, and much, much more, establishing Walmart as a leader in sustainability, corporate philanthropy and employment opportunity. What could you accomplish with Walmart?

Position Summary

The @WalmartLabs Personalization team consists of platform, application engineers, scientists and product visionaries all working together to design, prototype and build technology-driven products and experiences that will change the future landscape of ecommerce. We are focused on building the global service layer that will enable the end-to-end customer experience, from finding the product to delivering it to the customer. This will span many markets, business models and form factors; therefore, we are looking for engineers who will bring not only an abundance of experiences in technologies, but an abundant curiosity to innovate.
Come join an organization where you'll get to work as part of a world-class team, solve problems that are at a scale few can create, and get to build products that are only bound by the scope of your imagination. Put your footprint on ground up development focused on building brand new products that will impact a Global customer base.",Staff Data Scientist eComm,"Sunnyvale, CA",3.2,$10+ billion (USD),-1,Information Technology,1001 to 5000 employees,Subsidiary or Business Segment,2020-04-01T05:14:14.857689
"Social Fulcrum
3.4",-1,2010,"Boston, MA",Advertising & Marketing,"WHO WE ARE:
Social Fulcrum is a team of data scientists, platform experts, and creatives who work collaboratively to develop marketing strategies based on data-driven decisions, not assumptions. Social Fulcrum drives rapid growth and profitability for our clients via digital advertising campaigns. We help companies quickly acquire customers and incrementally increase revenues while lowering cost per acquisition.
WHAT WE BELIEVE IN:
Be Data Driven
Work Hard, Move Fast
Take Ownership
Be Resilient
Help Others Succeed
THIS ROLE:
We’re looking for a multi-tasking DATA SCIENTIST to join our Analytics team and work closely with our internal Performance/ Account Management, software, and creative teams to ensure we’re tracking and analyzing the performance of our client’s advertising campaigns. Reporting to the Manager of Data Analytics, seize this opportunity to use your analytical background and skills and apply them to helping our diverse portfolio of clients.
THE IDEAL CANDIDATE WILL BE ABLE TO:
Identify, configure and update our client’s conversion tracking and analytics needs
Build and maintain client specific analytics files and ensure these files are up to date and accurate
Build and maintain client analytics dashboards
Work within Python codebase to troubleshoot and debug code
Troubleshoot analytics issues or data inconsistencies
Address technical client concerns or questions
Manage and solve a variety of internal technical requests
REQUIREMENTS
Bachelor’s degree or equivalent experience in a technical/analytical field
Expertise with Microsoft Excel and Google Sheets
Experience with Microsoft Power BI or similar business intelligence tool is essential, as is software QA or technical customer service experience
Familiarity with Python, and MySQL or similar database scripting language
Familiarity with AWS (RDS, Elastic cloud compute), preferably also Heroku, nice to have
Familiarity with Git, basic UNIX/LINUX terminal commands and bash scripting
Ability to support internal IT/end user support tasks
Knowledge of advanced statistical techniques and concepts (regression, statistical tests and proper usage, etc.)
A drive to learn and master new technologies and techniques.
Excellent analytical thinking and problem-solving skills
Prioritization, time management and stress management skills. Get stuff done!
BENEFITS:
Unlimited PTO
Medical, dental, vision insurance, 401(k) with employer match, as well as employer contribution to commuter account.
Company culture -- Work hard, be weird. No, seriously, be weird. Incredibly cool workspace.",Data Scientist/Analyst,"Boston, MA",3.4,$1 to $5 million (USD),-1,Business Services,1 to 50 employees,Company - Private,2020-04-01T05:14:14.857689
"BPA Services
5.0",-1,-1,"Alexandria, VA",Enterprise Software & Network Solutions,"BPA Services, LLC is seeking a Computer/Data Scientist who will support our customer with insights gained from analyzing large volumes of financial, payroll and staffing data. The ideal candidate will be adept at using large data sets to find trends explain outcomes. The candidate should be able to use existing models and create new models to project outcomes and test the effectiveness of different courses of actions. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The candidate should be open to sharing the analysis, knowledge and results with team members and management.
Responsibilities
Provides assessments regarding current, state-of-the-art and industrial trends in the computer field related to data science
Applies knowledge of computer science concepts and techniques, mathematics, and methods of statistical analysis to develop and apply automated solutions to engineering, scientific or business data acquisition and management problems
Assists with defining computer system requirements to meet customer requirements
Provides improvements to the performance of existing computer systems and software
Development, design, and implementation of data models that meet customer requirements
Work with business analysts to share the customer requirements, current timelines, expectations, and available solutions
Conduct data mining and analyze data from a variety of databases and financial systems to drive optimization and improvement of financial projection.
Assess the effectiveness and accuracy of new data sources and models and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customers financial and staffing plans, other business outcomes.
Coordinate with different teams to implement monitor outcomes, generate and present reports to management.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Requirements
15+ years of relevant experience
Bachelor’s Degree in Computer Science or Engineering field
Must have working knowledge of computer languages
Experience with financial modeling
Excellent verbal and written communications skills
Excellent organizational skills and attention to detail.
Ability to multitask, prioritize, and manage time effectively
Excellent customer service skills
Preferred Experience
Knowledge and experience with DELPHI, FPPS and NDC
Knowledge and experience with CMMI documentation and process
BPA Services provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.",Data Scientist,"Washington, DC",5.0,Unknown / Non-Applicable,-1,Information Technology,Unknown,Company - Private,2020-04-01T05:14:14.857689
"Takeda Pharmaceuticals
3.7","Novartis, Baxter, Pfizer",1781,"OSAKA, Japan",Biotech & Pharmaceuticals,"Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.
Deliver critical analysis against Takeda’s toughest data problems to give us critical insight to the organization’s largest questions.
POSITION ACCOUNTABILITIES:
Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently to solve difficult technology and data problems.
Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company.
EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS:

Required
Master’s Degree or PhD in Computer Science, Data Science or equivalent
3+ years’ experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date knowledge of data wrangling and analysis technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Preferred
Experience in a scientific environment
Experience with Reinforcement Learning
WHAT TAKEDA CAN OFFER YOU:
401(k) with company match and Annual Retirement Contribution Plan
Tuition reimbursement Company match of charitable contributions
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs
Empowering Our People to Shine

Discover more at takedajobs.com

No Phone Calls or Recruiters Please.

#LI-JV1

Locations


Cambridge, MA

Worker Type


Employee

Worker Sub-Type


Regular

Time Type


Full time",Data Scientist,"Cambridge, MA",3.7,$10+ billion (USD),-1,Biotech & Pharmaceuticals,10000+ employees,Company - Public,2020-04-01T05:14:14.857689
