Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,timestamp
"Kapsch
3.5",-1,1892,"McLean, VA",Transportation Management,"The Role:

Kapsch is seeking a Software Engineer (Java) for our office in Duluth, GA. In this role you will work as a Software Engineer supporting our Intelligent Transportation Systems, and you will have the opportunity see your product in action, out in the field – on the tollway.

Responsibilities:
Design software components using object-oriented design principles
Implement software designs through iterative detailed design, code, and unit test cycles
Troubleshoot and correct software defects
Produce software documentation following company software process and templates
Participates in software product review meetings and team meetings
Develop software for a large, complex traffic management system
Use and integrate many and varied Java software packages
What’s in it for you?
Solving complex problems that improve daily the lives of people around the world
Opportunity to work with cutting edge technologies in a high-growth industry
Career growth and stability
Casual work environment with flexible work hours
Full benefits package including paid time off, 401(k) and a no-cost medical insurance option for employee and eligible dependents
What we are looking for:
Bachelor’s Degree in Computer Science or Computer Engineering and at least 2 years of experience.
Ability to understand and analyze complex systems
Be proficient in writing software using the Java Programming Language and standard object library
Have some knowledge of software development process
Experienced with Linux or Unix and Windows operating systems
Familiarity with agile development such as Scrum
Knowledge of software integrated development environments such as Eclipse.
Our top candidates will have:
Advanced skills in Java Programming Language including concurrent (multi-threaded) programming
Spring Application Framework
SQL including use of JDBC
Cloud or Distributed Technologies such as Hazelcast and/or Enterprise Service Bus products
Time-critical real-time programming
VMWare
Geospatial Systems
UML (Unified Modelling Language)
JSON (Javascript object notation) or specific products: Eclipse, Junit, PostgreSQL
Kapsch TrafficCom is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, race, creed, color, national origin, ancestry, marital status or sexual orientation, gender identity or expression, disability, nationality or sex. Kapsch TrafficCom is a drug-free workplace.

* No agencies, please.

Kapsch TrafficCom regrets that presently we are unable to consider individuals for this position who will require sponsorship for employment visa status (i.e., TN, H1-B, OPT)

#DICE",Software Engineer,"Duluth, GA",3.5,$5 to $10 million (USD),-1,Transportation & Logistics,501 to 1000 employees,Company - Public,2020-04-01T02:11:50.461006
"Dematic
3.9","Intelligrated, Daifuku, Viastore Systems",1819,"Atlanta, GA",Electrical & Electronic Manufacturing,"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Responsibilities:
Analyzing Customer Requirements
Research, Design, Testing / Debugging, and implementation of a variety of host Software, including:
Graphical User Interface Screens
Storage / Retrieval Algorithms
Warehouse Control Logic
Further developing existing programs for fixes or improvements by analyzing and identifying the areas for modification
Creating Technical specifications and test plans
Server and PC setup, software installation, including Virtualized Servers.
Working closely with other Staff including:
Other Software Engineers
Customer Service Engineers
Project Managers
Hardware Engineers
System Design
Continually updating technical knowledge and skills by attending in-house and/or external courses, reading manuals, researching new technologies / methodologies, and accessing new applications
What We Are Looking For


Experience/Skills Required:
C / C ++ / C# Programming Experience with Upper-Level Controls and User Interface points.
Database Experience (MS-SQL, Oracle, and others)
Experience with Microsoft Windows Server Editions and Desktop Editions
Ability to work well within a team environment.
Detailed-oriented.
Quality-oriented and customer-focused.
Self-motivated.
Experience/Skill Preferred:
Knowledge of Material Handling: AGVs, WMS, Case Pick.
Participation in an AGILE software development environment.
Knowledge of Source Control – Subversion with Tortoise, and FinalBuilder.
Experience with SAP, Microsoft Dynamics, Red Prairie (or other ERP Software)
Experience with Microsoft Visual Studio .NET, C#, C/C++.
Knowledge of Server Hardware and Virtualization.
Experience with PLCs or I/O Modules.
Experience with Training Users on Software.
Experience writing User Manuals and/or Help Files.
1-2 years experience in a related role
Travel:
Travel – Up to 20% (including International).",Software Engineer,"Holland, MI",3.9,Unknown / Non-Applicable,-1,Manufacturing,5001 to 10000 employees,Subsidiary or Business Segment,2020-04-01T02:11:50.461006
"Centauri
4.7","TASC, Vencore, Booz Allen Hamilton",1999,"Chantilly, VA",Aerospace & Defense,"Thank you for your interest in joining the Centauri team. Together, we can leverage the next generation of advanced technologies to deliver industry-leading capabilities across land, air, sea, space, and cyberspace. Our goal is to deliver innovative solutions using an agile, mission-first approach to address the most difficult technical challenges facing our customers. The only way that we can tackle these challenges is by recruiting the brightest minds in the industry to join our team.
Description
Job Duties:

Implement and validate new algorithms and extensions to existing algorithms

Apply algorithms to sensor data and assess performance

Work with existing Matlab and C++ tools to support assignments

Develop new tools/algorithms to enhance our signal processing capabilities

Occasionally prepare and present briefings status briefings to customers

Work with a flexible schedule and be willing to travel to accommodate customer priorities

Required Qualifications:

BS degree in electrical engineering, computer science, or physics with 3-6 years of experience in software development and an interest in remote sensing problems

Programming experience in Matlab and C++ using Microsoft Visual Studio

Experience with both Windows and Linux computing environments

Familiarity with Tortoise/SVN configuration management software

Ability to work independently and in a team environment

Strong oral and written communication skills

Security Requirements:

Must be eligible to obtain a security clearance.
Centauri is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other factor protected by law.

Are you a returning applicant?
Previous Applicants:


Email:


Password:
If you do not remember your password click here.
Back to Search Results

New Search",Software Engineer,"Ann Arbor, MI",4.7,$100 to $500 million (USD),-1,Aerospace & Defense,501 to 1000 employees,Company - Private,2020-04-01T02:11:50.461006
"ClearEdge
4.0",-1,2002,"Annapolis Junction, MD",Computer Hardware & Software,"Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with multi-talented development team and key stakeholders to develop and support operational deployment of an entire suite of government customer tools on an existing seven-year prime contract.

We are seeking a software engineer who will design, develop, sustain, and operationally support front-end presentation tier services for our mission-driven customers. We are looking for candidates ready to use their skills to develop, support, and deploy government tools, while providing impactful mission critical solutions. This work requires attention to detail and a firm understanding of requirements, development, test, integration, and deployment processes.
You will excel in this role if you are:
A results-oriented developer who can leverage technical skills and techniques to assist in designing, developing, and deploying software solutions.
Enjoy working as a member of an integrated development team
Self-Motivated with a desire to build new skills
Are familiar with Agile frameworks and methodologies with a desire to be a certified SCRUM Master.
Enjoy learning new technologies, are a forward thinker, and interested in growing your career with a cutting-edge technology company
A day in the life: (just a few of the things you may do on any given day) You will be joining a dynamic development team for a mission-driven technology thought leader. This involves:
Working directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver impactful solutions that solve client problems
Designing and coding new software or modify existing software to add new features
Debugging existing software, correcting defects and providing recommendations for improving documentation and software development process standards
Integrating existing software into new or modified systems or operating environments
Designing data queries for existing and projected databases
What we are expecting from you (i.e., the qualifications you must have)
No demonstrated experience is required
Bachelor’s degree in Computer Science or related discipline from an accredited college or university is required (Four (4) years of additional SWE experience on projects with similar software processes may be substituted for a bachelor’s degree)
Nice to Have
Experience developing web-based software applications using JavaScript and JavaScript frameworks such as React, AngularJS
Documentation experience
Ability to work well integrating your contributions with others across a diverse team
Mission-first work ethic
Problem solving and troubleshooting skills
Excellent oral and written communication skills with a keen sense of customer service
About us: Experienced advanced analytic development company providing new cyber solutions to current and emerging missions

Our Core Values of Honesty, Integrity, Loyalty, Fairness, Respect, Responsibility, and Accountability drive our mission and vision and are the heart of what we do each day. We combine our core values with the three key elements of people, technology, and integrity to repeatedly deliver stellar results within our primary competencies.

ClearEdge is also pleased to share that we have recently expanded our prime and subcontract presence into new cyber markets!

If this position does not fit your skillset, please visit our Careers page to explore our current openings, or contact a ClearEdge recruiter at careers@clearedgeit.com. ClearEdge is an equal opportunity employer.",Software Engineer I,"Annapolis Junction, MD",4.0,$5 to $10 million (USD),-1,Information Technology,51 to 200 employees,Company - Private,2020-04-01T02:11:50.461006
"Dematic
3.9","Intelligrated, Daifuku, Viastore Systems",1819,"Atlanta, GA",Electrical & Electronic Manufacturing,"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Dematic is hiring a Software Applications Engineer in our New Berlin, WI, Grand Rapids, MI, or Rochester, NY office. Become apart of a team that leads with innovation and passion. We are collaborative and operate in a fast-paced environment, offering an excellence benefits package.

Key Responsibilities:
Responsible for upgrading, retrofitting, testing and integrating various software warehouse logistics solutions often independently and efficiently to implement the required software solutions.
Work on multiple projects simultaneously
Diagnose customer issues on new and existing projects
Assist in the develop of solutions to upgrade existing systems
Communicate with customers on project requirements and solutions
Provide engineering support as required
Resolve incompatibility issues with older software on new hardware
Upgrade existing software to newer versions
Travel 25 to 40 percent travel can be expected to support projects, including occasional weekends and holidays
Complete assigned training courses as required.
What We Are Looking For


Qualifications:
BS in computer science or related field, or 5 years of experience in the field
Organization, analytical, reasoning and problem solving
Maintaining accurate and detailed records
Understanding and following directions
Working under pressure, meeting inflexible deadlines, and maintaining composure
May work independently on project assignments
Working knowledge required in: Windows Server configurations, VMWare, HyperV, Java, database (ORACLE and MS SQL-Sever), Visual Basic, Python and C++; C#, Java Script.
Excellent team and communications skills
May provide technical assistance to support staff and other employees.
Represents the organization as an internal contact and possibly a key external contact.",Software Applications Engineer,"New Berlin, WI",3.9,Unknown / Non-Applicable,-1,Manufacturing,5001 to 10000 employees,Subsidiary or Business Segment,2020-04-01T02:11:50.461006
"Kapsch
3.5",-1,1892,"McLean, VA",Transportation Management,"The Role:

As part of the image processing team, you will work on cutting-edge technology in the areas of image processing and machine learning for Intelligent Transportation Systems (ITS). You will work closely with your team lead and technical delivery managers to complete key projects. Responsibilities include the development and testing of image processing, feature extraction and classification algorithms for vehicle identifications in electronic tolling systems. You will participate in all phases of the entire SDLC from requirements interpretation, design, documentation, coding, review, testing, release, and maintenance of the software for electronic tolling systems. The systems are hard-real-time, highly available, responsible for millions of micro-transactions per day, and represent the most accurate tolling system in the world.

Responsibilities Include:
Design and development of image processing and machine learning algorithms for vehicle identification and matching for the tolling applications.
Software implementation is primarily C/C++ based and done on a Linux environment.
Research, identify and apply appropriate algorithms for performance enhancement.
Develop and maintain framework for training the various machine learning models
Correspond with the client organizations to understand the various performance metrics, tune the software to the required metrics and deliver.
Perform code reviews with peers, maintain code quality and track software development using the Git version control system.
Document and track work progress using Atlassian tools (JIRA, Confluence, etc)
What’s in it for you?
Solving complex problems that improve daily the lives of people around the world
Opportunity to work with cutting edge technologies in a high-growth industry
Career growth and stability
Casual work environment with flexible work hours
Full benefits package including paid time off, 401(k) and a no-cost medical insurance option for employee and eligible dependents
What we are looking for:
Undergraduate or MS degree in computer science or related field
Experience in imaging processing, signal processing expertise is highly beneficial
Experience with machine learning (e.g. SVM, CNN)
Proficiency in C/C++, Python and Shell Scripting language
Excellent problem solving and analytical skills
Superior English writing and communication skills
Desire to learn new skills and improve existing ones
Understanding of enterprise software design principles – architecture, design patterns, OOP
Our top Candidates will have:
Experience with deep learning frameworks, such as Caffe, TensorFlow, and MXNet.
Experience with OpenCV
Familiarity with Linux
Kapsch TrafficCom is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, race, creed, color, national origin, ancestry, marital status or sexual orientation, gender identity or expression, disability, nationality or sex. Kapsch TrafficCom is a drug-free workplace.

#dice","Software Engineer, Image Processing","Austin, TX",3.5,$5 to $10 million (USD),-1,Transportation & Logistics,501 to 1000 employees,Company - Public,2020-04-01T02:11:50.461006
"Atlassian
4.2",GitHub,2002,"Sydney, Australia",Computer Hardware & Software,"Atlassian is looking for a Software Engineer to join our data platform team which is responsible for building our real-time data ingestion system, maintaining our big data technologies and facilitating the movement of billions of messages every single day. We are looking for an open-minded, structured thinker who is passionate about building services that scale.
On a typical day you will help our engineering teams ingest data faster into our data lake, find ways to make our data pipelines more efficient, and come up with ideas to help instigate self-serve data engineering within the company. Then you will move on to architecting, designing, and building a platform at a scale that very few other people have had to work with.
You’ll get the opportunity to work on APIs that multiple people depend on both internally and externally to Atlassian and an AWS based platform which uses technologies like Elasticsearch and DynamoDB. We are a team with very little legacy in our tech stack and as a result you’ll spend less time paying off technical debt and more time identifying ways to make our platform better and improve our users experience.

More about you

As a software engineer in the data platform team, you will have the opportunity to apply your strong technical experience building highly reliable services. You enjoy working in a fast paced environment and you are able to take vague requirements and transform them into solid solutions. You are motivated by solving challenging problems, where creativity is as crucial as your ability to write code.

On your first day, we'll expect you to have:

• At least 2 years professional experience as a software engineer or data engineer
• A BS in Computer Science or equivalent experience
• Strong programming skills (some combination of Python, and Node.js preferred)
• Experience building platforms, micro services, and REST APIs
• Experience with ElasticSearch, DynamoDB, and other technologies to process incredible volumes of streaming data
• Experience writing GraphQL, structuring data, and data storage practices
• A willingness to accept failure, learn and try again and an open mind to try solutions that may seem crazy at first
• Experience working on Amazon Web Services (in particular using S3, SQS and the like)

It's preferred, but not technically required, that you have:

• Experience building self-service tooling and platforms
• A passion for building and running continuous integration pipelines.

More about the team

Data is a BIG deal at Atlassian. We ingest over 180 billion events each month into our real-time platform and we have dozens of teams across the company depending on the speed and data the platform provides.
You’ll be joining a strong team that is spread out among multiple Atlassian locations. We value when people ask hard questions and challenge each other to constantly improve our work. We are independent but love highly collaborative team environments, so you'll get the opportunity to work with lots of other awesome people just like you!
More about our benefits

Whether you work in an office or a distributed team, Atlassian is highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year for your favourite cause, an annual allowance to support your learning & growth, unique ShipIt days, a company paid trip after five years and lots more.

More about Atlassian

Creating software that empowers everyone from small startups to the who’s who of tech is why we’re here. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned—collaboration is the heart of every product we dream of at Atlassian. From Amsterdam and Austin, to Sydney and San Francisco, we’re looking for people who want to write the future and who believe that we can accomplish so much more together than apart. At Atlassian, we’re committed to an environment where everyone has the autonomy and freedom to thrive, as well as the support of like-minded colleagues who are motivated by a common goal to: Unleash the potential of every team.

Additional Information

We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.

All your information will be kept confidential according to EEO guidelines.","Software Engineer, Data Platform","Austin, TX",4.2,Unknown / Non-Applicable,-1,Information Technology,1001 to 5000 employees,Company - Public,2020-04-01T02:11:50.461006
"Dematic
3.9","Intelligrated, Daifuku, Viastore Systems",1819,"Atlanta, GA",Electrical & Electronic Manufacturing,"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Do you have a passion for software engineering and customer service support? We are seeking an enthusiastic and highly motivated software engineer (not specifically coding, rather show genuine and high integrity for their customers and supporting them). This role would provide remote, second level customer support. The incumbent will work closely with customers, first level technicians in the Customer Support area, and software project and technical support engineers to resolve customer issues. The incumbent may participate in emergency situations requiring on-site support. We need someone to answer calls and create a sound problem statement by asking a lot of questions. This person will be a self-starter, and they will seek out resources. Ideal candidate will possess knowledge of multiple programming languages, operating systems, databases, and networking. Other duties may include:
Assisting project and technical engineers in integration of new systems.
Assisting technical and development personnel in application quality testing.
Working on site to install, commission, and test installation of material handling solutions.
Providing specified technical support to customers on-site, when assigned. Requirements:
Bachelor's degree in Computer Science, or equivalent experience.
Strong written and verbal communication skills.
Material Handling background is a plus, but not required
Strong problem solving skills.
Strong background in MS SQL Database – addressing performance related symptoms
Strong understanding of Windows operating systems.
The ability to troubleshoot server hardware, Ethernet networks and other peripherals such as printers.
Willingness to travel approximately 20% of the time.
Ability to participate in an on call rotation during non-business hours.
Review Sales and Estimating Functional Specifications documentation.
Experience with Java, MySQL, Linux, Networking
Database Administration Skills
Comfortable working independently

Participates in complex design, maintenance, enhancement, testing, implementation, and support of software. Supports the development of software test requirements for semi-complex modules under development, may execute complex test specifications. Participates in providing estimates for semi-complex modules under development, and may estimate own work. Supports the reviewing of complex customer’s standards specification and other documentation to determine software engineering requirements. Participates in presentations of complex technical findings and developments. Provides support with the software quality process through the execution of complex module, subsystem and system test procedures.
What We Are Looking For


Education:

BIS, CIS, or IT degree preferred.

Knowledge and Experience:Demonstrates a good grasp of knowledge and principles of field of specialization and applies through successful completion of assignments. Successfully applies knowledge of fundamental concepts, practices, and procedures of particular area of specialization. Typically 3+ years of successful experience in related field and successful demonstration Responsibilities presented above. Advanced degree MAY be substituted for experience, where applicable.

Strong communicator, capable of working cross-functionally in a highly matrix organization.",Software Engineer 2,"Austin, TX",3.9,Unknown / Non-Applicable,-1,Manufacturing,5001 to 10000 employees,Subsidiary or Business Segment,2020-04-01T02:11:50.461006
"Onco360
2.2",-1,2003,"Louisville, KY",Health Care Services & Hospitals,"Calling all Experienced Software Engineers with an interest in a growing company!

Onco360 Pharmacy is a unique oncology pharmacy model created to serve the needs of community, oncology and hematology physicians, patients, payers, and manufacturers. Our Onco360 corporate office is Louisville, Kentucky has an immediate need for a Software Engineer.

Summary - This Software Engineer is responsible for analysis, design development, implementation, quality and maintenance of Windows/Web based applications and systems contributing to the overall IT strategy and plan.

Benefits:
Medical; Dental; Vision
401k with a match
Paid Time Off and Paid Holidays
Tuition Reimbursement
Company paid benefits – life; and short and long-term disability

Software Engineer Major Responsibilities:
Responsible for adhering to development standards while delivering solutions on time.
Responsible for maintaining high quality of the code that is being delivered by following good standards and practices.
Actively involved in the development and maintenance of new/existing applications.
Responsible for analyzing and resolving technical problems and application incidents.
Update job knowledge by staying current with latest development tools and techniques.
Assist other developers with development and test tasks.
Perform unit testing and debugging of the code based on specifications.
Minimum of two years of Software Engineer experience required.

Software Engineer Position Qualifications:
Education/Learning Experience
Required: A Bachelor’s degree in Computer Science, Information Technology or Business Administration
Desired: Master’s degree
Work Experience
Required: Hands on experience in building, maintaining software, web and windows applications; web services, source control; version control; testing; production turnover; specification development and systems analysis; Hands on experience with C#/VB.Net, Visual Studio .Net, SQL Server, JQuery, JSON, LINQ.
Skills/Knowledge
Required: Hands on experience with C#/VB.Net, Visual Studio .Net, SQL Server, JQuery, JSON, LINQ. Effective communication skills both verbal and written.
Desired: API/Mobile Development
Licenses/Certifications
Desired: MCSD or similar Microsoft Certifications",Software Engineer,"Louisville, KY",2.2,Unknown / Non-Applicable,-1,Health Care,201 to 500 employees,Company - Private,2020-04-01T02:11:50.461006
"Boeing Intelligence & Analytics
3.9","Leidos, Raytheon, Vistronix",-1,"Annapolis Junction, MD",IT Services,"Apprentice Software Engineer
Location


MD - Annapolis Junction

Apply Now

**THIS POSITION REQUIRES AN ACTIVE TS/SCI WITH POLY CLEARANCE**

Boeing Intelligence & Analytics (""BI&A""), a subsidiary of The Boeing Company, is seeking a Development Software Engineer to join their top-tier team.

DUTIES WILL INCLUDE:
Develops, maintains, and enhances complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements.
Works individually or as part of a team.
Reviews and tests software components for adherence to the design requirements and documents test results.
Resolves software problem reports.
Utilizes software development and software design methodologies appropriate to the development environment.
Provides specific input to the software components of system design to include hardware/software trade-offs, software reuse, use of Commercial Off-the-shelf (COTS)/Government Off-the-shelf (GOTS) in place of new development, and requirements analysis and synthesis from system level to individual software components.
REQUIRED EDUCATION AND EXPERIENCE
Bachelor’s degree in Computer Science or related discipline from an accredited college or university
4 years of Software Engineering experience on projects with similar software processes may be substituted for a bachelor’s degree
Experience with JAVA
DESIRED EXPERIENCE (although NOT required):
Test Automation Tools such as J-Unit, Rational and others,
Elastic Search, My SQL, JIRA, GIT,
Real-time systems, large data sets, understanding of Test and Evaluation processes and strategies
BI&A is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race,
color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

Equal Employment Opportunity is the Law (PDF)",Apprentice Software Engineer,"Annapolis Junction, MD",3.9,Unknown / Non-Applicable,-1,Information Technology,201 to 500 employees,Subsidiary or Business Segment,2020-04-01T02:11:50.461006
