,Unnamed: 0,Job Title,Job Description,Job Id,Location,Company Name,Company Description,Headquarters,Size,Founded,Industry,Website
0,0,Senior Data Scientist/Engineer,"Senior Data Scientist/Engineer

Who we are:

EWA, Inc., a leader in defense technology development, has an immediate opening in its Herndon, VA office for a Senior Data Scientist to lead projects related to development of real-time machine learning software/firmware for defense-related systems and applications.

Required skills/certifications:

* Master’s degree in Computer Science, Physics, or Engineering
* 7-10 years of practical experience in artificial intelligence - demonstrated capabilities in algorithm development, data science, analytics, and embedded hardware.

Desired skills:

* Ph.D. in computer science, physics, or engineering
* Strong background in statistics/mathematics
* Experience with embedded hardware (microcontrollers, FPGA, digital logic) **I had to look up FPGA and learned its A field-programmable gate array (FPGA) is an integrated circuit (IC) that can be programmed in the field after manufacture. ... FPGAs are used by engineers in the design of specialized ICs that can later be produced hard-wired in large quantities for distribution to computer manufacturers and end users)
* Experience with commercial SDRs **Software-defined radio (SDR) is a radio communication system where components that have been traditionally implemented in hardware (e.g. mixers, filters, amplifiers, modulators/demodulators, detectors, etc.) are instead implemented by means of software on a personal computer or embedded system.

Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information.",217021019,"Herndon, VA 20170",ELECTRONIC WARFARE ASSOC,,,,,,
1,1,Lead Data Scientist,"Lead Data Scientist with S&P Global, Inc. in Boston, MA. Dvlp analyses & models based on complex data for a particular business unit/function. Position reqs a Master’s deg (US or foreign equiv) in Comp Sci, Stats, Econ or rela field & 4 yrs of exp in the job offered or in a rel role OR PhD deg (US or foreign equiv) in Comp Sci, Stats, Econ or rel field & 1 yr of exp in the job offered or in a rel role. Prior exp must incl 1 yr of exp w/: Python or R; Machine Learning & Stat Modeling; Capital Mks or Corporate Fin; Database Design & Dvlpmnnt using SQL; & Data Visualization.  Qualified Applicants: Email resumes to Lead Data Scientist with S&P Global, Inc. in Boston, MA. Dvlp analyses & models based on complex data for a particular business unit/function. Position reqs a Master’s deg (US or foreign equiv) in Comp Sci, Stats, Econ or rela field & 4 yrs of exp in the job offered or in a rel role OR PhD deg (US or foreign equiv) in Comp Sci, Stats, Econ or rel field & 1 yr of exp in the job offered or in a rel role. Prior exp must incl 1 yr of exp w/: Python or R; Machine Learning & Stat Modeling; Capital Mks or Corporate Fin; Database Design & Dvlpmnnt using SQL; & Data Visualization.  Qualified Applicants: Email resumes to TalentAcquisitionSupport@spglobal.com & ref the job code 254947. S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (incl domestic partnerships & civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.
If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.   The EEO is the Law Poster  http://www.dol.gov/ofccp/regs/ compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law. & ref the job code 254947. S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (incl domestic partnerships & civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.
If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com
 and your request will be forwarded to the appropriate person.   The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.",217156621,"Boston, MA 02210","S&P Global, Inc.",,,,,,
2,2,"Senior Data Scientist - R, Healthcare Analytics","If you are a Senior Data Scientist with experience, please read on!
Top Reasons to Work with Us
1. Cutting Edge Helathcare Analytics Company!
2. Opportunity to work on complex and interesting Medical Data

3. Great growth opportunities and comp package!
What You Need for this Position
- R
- Healthcare Analytics

- Predictive Modeling

- Predictive Analytics

- SQL

- OHDSI

- OMOP

- Data Science
So, if you are a Senior Data Scientist with experience, please apply today!",217263405,"Cambridge, MA",CyberCoders,"CyberCoders, a division of On Assignment, is a leading permanent placement recruiting firm. Through our innovative technology and efficient recruiters, CyberCoders helps find the right candidate fast.
Founded in 1999, CyberCoders is built on a success oriented culture. Above all – we know both candidates and clients want quality and they want it now. No other recruiting firm can offer Cyrus, our proprietary technology built to search smarter and quicker, matching the best applicant to the right job.","US, Irvine, California",100 to 499 employees,1999.0,Staffing/Employment Agencies,http://www.cybercoders.com
3,3,Sr. Advanced Data Scientist,"Join a team recognized for leadership, innovation and diversity
The future is what you make it. When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries. Are you ready to help us make the future?
Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data, analytics, Internet of Things, AI/ML (Machine Learning), Automation and design thinking. You will support change that brings value to our customers, partners, and shareholders through the creation of innovative software and data-driven products and services. You will help engineer contemporary applications and services, constructing solutions that remain scalable, adaptable and replicable. You will be part of transforming Honeywell's IT organization through the delivery of technology products that will directly impact the company's growth.
You will be part of the Automation and Cognitive Services Technology group and in this role, you will work on the design and implementation of state-of-the-art Machine Learning/Deep Learning and AI Cognitive Services enhanced business use cases. This ML/AI Lead role will work with the Automation Delivery team, IT business partners, Functional consultants, and infrastructure/technology teams to meet customer requirements. You will focus primarily on the end-to-end delivery of ML/AI use cases from pilot/design to release, driving the evolution of ML/AI infrastructure/process, and enabling Cognitive Automation, AI ChatBot, etc.
Key Responsibilities:
Develop and Deploy advanced Machine Learning, Reinforcement learning and Deep Learning Models/algorithms to enhance existing business processes with predictive and intelligent decision making.
Define and develop end-end Machine Learning Pipelines from notebook to production, including defining clear and detailed data requirements for data engineers.
Work in a startup-type environment to design and build innovative applications using Automation, Machine Learning/Cognitive Service, business / functional proofs-of-concepts to scalable, production ready solutions across a strategic business group
Actively lead, analyze and recommend highly complex business opportunities, through assessments/workshops, detailed data analysis/modeling and overall end-end solutioning to propose predictive, AI Driven solutions that drive the most business value with sustained impact.
Research, actively experiment to stay abreast of the emerging ML and Cognitive Automation trends
Work within project planning constraints, communicating any identified project risks and issues to the delivery/project manager and provide inputs to the change control process
Help develop standard operation practices and support the Operations Teams through UAT and after go-live
Work closely with the operations team to change, optimize existing Automation and AI/ML processes and help build effective model performance monitoring, alert and notification framework to proactively identify problems/issues before business impact
Partner and effectively communicate with Non-IT / Business users, functional counterparts and stakeholders to understand the underlying business problem, and work with the extended team to define and communicate the right technical solution
YOU MUST HAVE
Bachelors in Computer Science, Data Science or Engineering fields
5 plus years of IT experience in solution architect / data scientist / software development for large corporate/organizations
3 plus years of experience in building and deploying Machine Learning solutions using various supervised/unsupervised ML algorithms such as Linear/Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Random Forest, etc
3 plus years of hands-on experience with Python and/or R programming and statistical packages, and ML libraries such as scikit-learn, TensorFlow, PyTorch, MXNet, etc
2 plus years experience in building IT use cases / solutions especially around AI/ML cognitive services, based on Cloud infrastructure and services such as AWS and/or Azure cloud platforms.
WE VALUE
Masters Degree in Computer Science, Data Science or Engineering fields
Work experience / education in data science, data engineering and analytics
Development experience in RPA Tools & Platform & Implementations: Examples - UiPath, Automation Anywhere and other leading RPA platform vendors
1 plus years experience in Web Service/Restful API Integration
Experience in ERP platform integration, preferably with SAP
Working Experience in an Agile/Scrum/Scaled Agile and DevOps based team environment
Certifications AI / ML and Cloud platforms
Additional Information
JOB ID: HRD89968
Category: Engineering
Location: 715 Peachtree Street, N.E.,Atlanta,Georgia,30308,United States
Exempt
The Future is What We Make It
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.",216723028,"Atlanta, GA",Honeywell,,,,,,
4,4,Lead Data Scientist,"Lead Data Scientist sought by Gogo LLC in Chicago, IL to utilize advanced data blending, data analytics, and visualization tools to provide easy to understand and actionable data insights. Req Master's in Biz Anlytcs, CS, Engg, or rltd + 3yrs data analytcs exp. Req exp w/ Spark, Java, VBA, Hadoop, & Hive. Apply @ www.jobpostingtoday.com #99861
 ",217273977,"Chicago, IL",Gogo LLC,,,,,,
5,5,Data Scientist,"Job Title: Data Scientist
Location: Broomfield, CO  80021
Duration: 04 months contract

Job Description: 
Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth constraints; merge data sources; ensure consistency of data sets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings. 
8-12 years of experience required.


About Advantage Resourcing
Advantage Resourcing makes all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, ancestry, medical condition, age, marital status, national origin, citizen status, political affiliation, union membership, genetic information, physical or mental disability, veteran status, denial of medical or family leave, pregnancy or pregnancy disability leave or any other protected group status as defined by federal, state or local law. We will provide reasonable accommodations throughout the application or interviewing process. If you require a reasonable accommodation, contact us. Advantage Resourcing is an E-verify employer.",217222578,"Broomfield, CO 80021",Advantage Resourcing,"At Advantage Resourcing, our primary objective is to perfectly align the best people with the appropriate jobs. These jobs may be temporary assignments or career positions. We place talented people in a wide variety of jobs working with our client companies in areas such as: engineering, IT, technical, manufacturing, skilled trades, distribution, call centers, clerical, accounting, finance and sales.
Our strength is being able to solve our client's workforce needs by matching people that have the right skills, knowledge and motivation to each opportunity. Advantage Resourcing can help you discover the personal and career success you desire.
Advantage Resourcing Americas, Inc. is an Equal Opportunity Employer offering employment without regard for race, color, religious creed, national origin, ancestry, gender, marital status, age, sexual orientation, sex, gender identity, disability, veteran status, or other legally protected categories. Advantage Resourcing is a VEVRAA Federal Contractor.","US, 220 Norwood Park South Norwood, Massachusetts",500 to 999 employees,1969.0,Staffing/Employment Agencies,https://www.advantageresourcing.com/
6,6,SAS Data Scientist,"Stratacent is all about delivering world-class IT solutions that are perfectly aligned to client needs, no matter how complex they may be. We are highly focused on our customers and our primary goal is to exceed expectations with every client who partners with us, with solutions that are innovative, practical and versatile enough to take their business to the next level. We follow the highest standards of professional ethics, delivering quality on time every time. Across every project, we strive to deliver reliable, scalable and agile solutions to clients' technology needs integrating our core values of excellence, commitment, collaboration, and creativity. Our offsite development center is located at 101 Hudson Street, Jersey City, NJ a building covering 1.25 million square feet of space in a ""Class A office tower 42 stories high, looming over the Hudson River/NYC Skyline and just 10 minutes from Wall Street in lower Manhattan.

Position: SAS Data Scientist
Location: The Woodlands (Houston) or New Orleans, LA

Job Description  
Stratacent is seeking a full time Data Scientist to work with a large energy customer in the Houston TX area.  The candidate will serve to augment an existing team that is using SAS for analytic applications such as load forecasting.
The data scientist will support the growing analytical needs of the company as data collection efforts expand and use cases are identified. The primary duties of the position will include enhancing and optimizing current analytical techniques through business unit collaboration, development, and deployment of higher order analytical techniques (and software) necessary to extract additional value from company-held data  (data at rest as well as streaming) and assist with broadening the analytical knowledge base of the company.   Analysis performed by the position will be shared within the company to support the various initiatives underway that have an analytical need which will ultimately impact the company's generation assets, load resources, customer view, and product and services offered to the customer.

Responsibilities
Develop, manage, and deploy analytical solutions/tools that enable business units to unlock additional value from company-held data.  
Be a champion for the company's analytics efforts both inside and outside of the organization, promoting collaboration and communication through business unit driven use cases whilst building the company's brand in the analytics space.   Represent the company on various industry forums such as UAI, EPRI, EEI, etc., and assist with developing and maintaining the internal POV on internal as well as external analytical capabilities from a build or buy perspective.   

Employee Benefits
Health Insurance
Vision Plan
Dental Plan
401K
Paid Time Off
Continuous Learning Program
Stratacent is an equal opportunity employer. As such, to the extent defined by federal, state, and municipal law, Stratacent will not discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, age, sex, national origin, ancestry, handicap, or any other factor protected by law.",217187216,"The Woodlands, TX",Stratacent,"Stratacent is all about delivering world class IT solutions that are perfectly aligned to client needs, no matter how complex they may be. We are highly focused on our customers and our primary goal is to exceed expectations with every client who partners with us, with solutions that are innovative, practical and versatile enough to take their business to the next level.","US, Jersey City, NJ",20 to 49 employees,2012.0,Computer/IT Services,
7,7,Senior Data Scientist,"Travel: None
Security Clearance: Active TS is preferred

We are looking for data scientists for projects with large amounts of complex data. The candidate should have five-seven years of experience manipulating data sets and building statistical models, hold a Master’s or PhD in Statistics, Mathematics, Computer Science or another quantitative field, and be familiar with the following software/tools:
Coding knowledge and experience with several languages: C++, Java, JavaScript, Python, etc.
Experience querying databases and using statistical computer languages: SQL, R, Python, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, predictive modeling, clustering, decision trees, neural networks, deep learning, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Spark, Impala, MySQL, etc.
Experience visualizing/presenting data for stakeholders using Periscope, Business Objects, D3, ggplot, etc.

The ideal candidate is adept at using large data sets to find anomalies and queries identified as data of interest. They must have strong experience using a variety of data mining/data analysis methods and data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities
Mine and analyze databases to drive optimization and improvement of product development, analytics techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experience.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications
Strong problem solving skills with an emphasis on product development.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Active Top Secret Clearance preferred.

Education
Master’s or PhD in Statistics, Mathematics, Computer Science or another quantitative field.",217164829,"Alexandria, VA","Ninja Analytics, Inc.",,,,,,
8,8,"Assistant Director, Innovation and Science Australia","Innovation and Science Australia works on ensuring Australia reaches its innovation potential.
Work in a Small and Dynamic team
Support an independent board of entrepreneurs
Competitive salary including 15.4% super
Innovation and Science Australia (ISA) has been established to assist the Australian Government in ensuring Australia reaches its innovation potential and contributes to the wellbeing and prosperity of all Australians into the future.

The ISA Board (the Board) is an independent statutory board made up of entrepreneurs, business people, and academics. The ISA Board has a strategic whole of government responsibility to provide strategic advice back to Government on innovation, science and research (ISR) matters, holistically across the system.

The Board is also responsible for overseeing a number of innovation programs and has a strong role in stimulating public discussion and debate about ISR more broadly in the community.

The Office of Innovation and Science Australia (OISA) is a small, dynamic team that supports the ISA Board achieve its legislated objectives. OISA is located within the Department of Industry, Science, Energy and Resources (DISER).

The key duties of the position include:

The successful candidate will help the ISA Board develop evidence-based advice to government on how to strengthen Australia’s national innovation system. In so doing the successful candidate will have an opportunity to enhance their strategic and leadership skills in a fast-paced, engaging and stakeholder-focused environment.

Your primary responsibilities will include:

Leading discrete medium to long term projects to better understand the way Australia’s national innovation system is currently functioning, including understanding the impact of relevant Government programs and industry initiatives;
Working across the whole of Government and industry sectors to gather, analyse and interpret data, and present findings to the OISA CEO in a way that is compelling, insightful and informs the ISA Board’s deliberations on how to strengthen the innovation system;
Engaging and liaising with stakeholders within DISER and across Government, industry, and academia; and
Working to promote and stimulate public discussion about ISR.

Eligibility:

To be eligible for employment in the Australian Public Service (APS) and the department, applicants must be Australian citizens.

These positions require a Baseline security clearance. The successful applicants will be required to obtain and maintain a clearance at this level.

Notes:

This recruitment process is being used to fill an ongoing Executive Level 1 position. A merit pool may be established to fill future ongoing and non-ongoing Executive Level 1 vacancies should they become available within 12 months form the date advertised.

RecruitAbility applies to this vacancy. Under the RecruitAbility scheme you will be invited to participate in further assessment activity for the vacancy if you choose to apply under the scheme; declare you have a disability; and meet the minimum requirements for the job. For more information see: https://www.apsc.gov.au/recruitability

Closing Date: 17th April, 2020
APPLICATIONS MUST BE MADE VIA: 
http://careers.pageuppeople.com/771/cw/en/listing/
 ",217097911,"Canberra, ACT","Australian Government Department of Industry, Science, Energy & Resources",,,,,,
9,9,Data Scientist III (B3),"The Data Scientist job expectations (typically 80%-90% of the work) include performing descriptive statistical analysis and data visualization and supporting troubleshooting service offerings in semiconductor manufacturing. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes (~20%of the work) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
 People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover between different subject areas such as Electronics, Physics, Chemistry, Mechanical Engineering, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.
Specific Duties Include
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using scripts. Good to have prior experience in data analysis using descriptive statistical analysis techniques such as Univariate/Multivariate analysis to describe and summarize data. Skill in scripting and data visualization using R, Unix Shell scripting skill is desirable. Write reports which clearly explain the relationships in the data and the significance of those relationships. Work closely with other Applied Materials employees and customer employees to understand which of these relationships may be anomalous and which are valid. Document and update methods and processes. Experience in any version control systems (such as git) is desirable.
Requirements
B.S/M.S./M.Tech/Ph.D. in Physics, Chemistry, Mathematics, Statistics, Computer Science, or an Engineering background with programming experience. Work experience as a Semiconductor process engineer/analyst improving efficiency and quality, process transfer from development to production, applying analytical techniques using statistical software applications or custom scripts for troubleshooting is added advantage. Skill in scripting in R or Python and UNIX. Proficiency in applying statistical modeling techniques. Strong motivation to work on research and development activities.
Experience: –>4+ Years
#LI
Qualifications
Education:
Bachelor's Degree
Skills
Certifications:
Languages:
Years of Experience:
4 - 7 Years
Work Experience:
Additional Information
Travel:
Yes, 50% of the Time
Relocation Eligible:
No
Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities.",216445335,"Austin, TX 78724",Applied Materials,"Applied Materials (Nasdaq: AMAT) is the global leader in nanomanufacturing technology solutions for the electronics industry with a broad portfolio of innovative equipment, services and software products. At Applied Materials, we apply nano-manfacturing technology to improve the way people live. To support customers around the world, Applied Materials employs approximately 14,000 people in over 65 locations throughout China; Europe; India; Israel; Malaysia and Singapore; Japan; Korea; Taiwan; and the United States.","US, SantaClara, California","10,000 employees or more",1967.0,Manufacturing - Other,http://www.appliedmaterials.com/
