Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,timestamp,url
"Amrock
3.6",-1,1997,"Detroit, MI",Real Estate,"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",Data Scientist,"Detroit, MI",3.6,$500 million to $1 billion (USD),-1,Real Estate,1001 to 5000 employees,Company - Private,2020-04-16T21:55:11.204721,http://www.amrock.com/
"ManTech
4.1",-1,1968,"Herndon, VA",Research & Development,"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Data Scientist,"Chantilly, VA",4.1,$1 to $2 billion (USD),-1,Business Services,5001 to 10000 employees,Company - Public,2020-04-16T21:55:11.204721,http://www.mantech.com/
"Smule
4.2",-1,2008,"San Francisco, CA",Internet,"The Smule mission is to connect people all over the world through the joy of making music at massive social scale. Music is much more than just listening… It's about creating, sharing, discovering, participating, and connecting with people. It is a social network with the power to break down barriers, touch souls and bring people together from all over the world.

As a machine learning engineer/scientist, you will be hands-on in designing models/algorithms, solving technical problems, and building/improving production recommender systems. You will work on various data products and services by leveraging our demographic, transactional, behavioral, social, text, and audio/video data.

Your work will directly impact the product experience of millions of users. You should be strong in coding, distributed computing, and machine learning techniques. You will work with a group of talented, open-minded fellow engineers/scientists on challenging problems and focus on delivering business impact.

Requirements
Excellent working attitude: can do whatever it takes to get things done, eager to learn and grow with the team and the company, a team player
Strong ownership and result-driven
Solid programming skills (python and scala)
1+ years experience in machine learning
Familiarity with big data stacks: Hadoop/Hive/Spark/Kafka or similar tools, etc.
Good sense in data-driven analysis and diagnosis
Experience in recommender systems, a plus
BS/Masters/PhD degree in STEM field",Machine Learning Engineer,"San Francisco, CA",4.2,$100 to $500 million (USD),-1,Information Technology,51 to 200 employees,Company - Private,2020-04-16T21:55:11.204721,http://www.smule.com/
"CyrusOne
3.5","Digital Realty, CoreSite, Equinix",2000,"Dallas, TX",Real Estate,"CyrusOne is seeking a talented Data Scientist who holds a range of data-focused skills both in technical and analytical domains. The ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. This role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

Duties and Responsibilities:
Participate in an agile scrum cadence
Process, cleanse, and verify the integrity of data used for analysis
Perform functional business requirements analysis and data analysis
Develop data models and algorithms to apply to data sets
Augment data collection procedures to include necessary information for building accurate analytics
Collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
Evaluate the effectiveness and accuracy of data sources and data gathering techniques
Gather critical information from meetings with various stakeholders and produce useful reports
Coordinate with cross-functional teams to implement models and monitor outcomes
Develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders
Requirements:
Must be legally authorized to work in the United States for any employer without sponsorship
Professional experience using statistical software languages like R, Python, and SQL to query, manipulate, and draw insights from data sets
Strong problem-solving skills with an emphasis on product development
Extensive experience with Microsoft SQL, MySQL and MongoDB
Understanding of version control (git) and project management with Azure DevOps
Knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Experience visualizing data for stakeholders using visualization tools such as Power BI
Experience working with and creating data architectures
Understanding and adherence to agile principles and practices
Ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors
Self-maintainability and reliability with minimal supervision
Excellent interpersonal communication, decision making, presentation, and organizational skills
Ability to build productive internal/external working relationships
Harmonious with CyrusOne culture, core values, and business goals
Minimum Qualifications:
2+ years of related experience in a data analyst role
Strong can-do attitude in a time sensitive environment
Other important information about this position:
This position requires typical weekday (Monday - Friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs
Every position requires certain physical capabilities. CyrusOne seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible
CyrusOne is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.

CyrusOne provides reasonable accommodation for qualified individuals with disabilities in accordance with the Americans with Disabilities Act (ADA) and any other state or local laws. We will respond to requests for reasonable accommodations to assist you in applying for positions at CyrusOne, or to submit a resume. If you need to request an accommodation, please contact our Human Resources at 214.488.1365 (Option 7) or by email at HR@cyrusone.com.",Data Scientist,"Dallas, TX",3.5,$1 to $2 billion (USD),-1,Real Estate,201 to 500 employees,Company - Public,2020-04-16T21:55:11.204721,http://www.cyrusone.com/
"ClearOne Advantage
4.1",-1,2008,"Baltimore, MD",Banks & Credit Unions,"Job Description

**Please only local candidates apply - thank you**

ClearOne Advantage is a fast-growing company that is aggressively hiring due to increased business. We are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. COA’s proprietary software is tailored to our industry and allows the client to receive the best service possible.

We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.

If you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!

Perks:
Great location, right on the water in the Canton Crossing Tower
Casual work environment and WFH flexibility
Room for advancement
What you'll be doing:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams",Data Scientist,"Baltimore, MD",4.1,Unknown / Non-Applicable,-1,Finance,501 to 1000 employees,Company - Private,2020-04-16T21:55:11.204721,http://www.clearoneadvantage.com/
"Miracle Software Systems
3.3","CSC, IBM",1994,"Novi, MI",IT Services,"Position Description: The Analytics Research and Development team within the organization is looking for a highly skilled quantitative analyst / data scientist to assist in all levels of model development, evaluation, and deployment. The analyst will have significant autonomy in conducting research and selecting modeling methodologies. You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automobile industry. Responsibilities include, but are not limited to: - Work with Optimization Solutions group, Operations and Finance teams to support optimal pricing reflecting the risk/return tradeoff. - Employ statistical/econometric procedures to produce quarterly forecasts of vehicle loan characteristics to be included in pricing model. - Develop tracking methodologies and reports to monitor model accuracy and evaluate performance. - Prepare analysis to back-test and compare competing modeling methodologies. - Responsible for maintenance and enhancements of all developed models. - Utilize structural models to simulate business performance over different competitive and economic scenarios. - Support deployment of upgraded analytical tools to dynamically price vehicle financing. - Utilize optimization software to evaluate pricing methodologies. - Use data mining techniques to find opportunities within the pricing area. - Develop/evaluate marketing strategies to take advantage of pricing opportunities. - Utilize deep learning technology to extract vehicle features. - Work with various data sources and platforms (PC, Mainframe, Unix/Linux, Teradata, Hadoop) to gather data. - Execute both descriptive and inferential ad hoc requests in a timely mannerSkills Required: Demonstrated skills in conducting complex statistical analysis in a business or academic environment - Demonstrated skills in large scale data manipulation and mining/pattern recognition - Strong oral and written communication skills. - Strong programming skills in Python, C / C++/C# , Matlab, R, Pyspark",Data Scientists,Nebraska,3.3,$50 to $100 million (USD),-1,Information Technology,51 to 200 employees,Company - Private,2020-04-16T21:55:11.204721,-1
"Parkland Center for Clinical Innovation
4.2",-1,2012,"Dallas, TX",IT Services,"Looking for your next opportunity? If so, choose PCCI and discover what a meaningful job feels like. We are looking for a mid to senior level data engineer. If you have significat data engineering experience with SQL, pipeline, SQL server,product support,infrastructure, BI engineering and Azure, please apply. Azure data engineer certification is a plus. Expereienced Data Engineers are welcome to apply.

Primary Purpose: Parkland Center for Clinical Innovation (PCCI) is an independent, not-for-profit, health care intelligence organization. We leverage ML+AI, clinical expertise, and social determinants of health to better support under-served individuals and vulnerable populations across diverse communities. It is our firm belief that thoughtful application of digital tools and technologies helps communities get better connected to the care and resources that they need. This reduces health inequity and enables individuals to be more engaged and empowered regarding their health and well-being. One of the foundations of our work is a well-managed, high quality and high performing data system that includes our data ingestion and cleaning framework, data lake, and databases. As a data engineer, you will be responsible for ensuring that the data that we ingest from various sources, including claims, clinical and social determinants of health are ingested and cleaned appropriately, and are stored using appropriate data modeling principles. You will have an opportunity to do this in a mission-driven, fast-paced environment where your work will have an immediate impact on cutting edge analytics being deployed for clinical and operational use cases. This is a hands-on technical role that is responsible for data warehousing and business intelligence, with emphasis on data analytics (descriptive, predictive and prescriptive) through the entire project lifecycle.

Education Must have a bachelor's degree in Computer Science, Computer Engineering, or another engineering field

Experience 3+ years database administration or data engineering experience required , preferably on Microsoft technology stack. Experience with designing and developing create high performance, extensible data models/database structures for enterprise applications, preferably in healthcare/life-sciences industry. Experience with backups, restores and recovery models Knowledge of High Availability (HA) and Disaster Recovery (DR) options for database servers. Experience working with cloud environments, preferable Microsoft Azure Security setup, configuration, concepts, techniques and tools. Indexes configuration, concepts, techniques and tools.

Equivalent Education and/or Experience NA

Certification/Registration/Licensure Required Tests for Placement NA

Skills or Special Abilities Strong SQL programming skills Strong understanding of data modeling and enterprise database concepts Familiarity with a dashboarding tool like Power BI, Tableau Working knowledge of a programming language like Python Strong communication skills Azure and SQL Server certifications a plus

Parkland Health and Hospital System prohibits discrimination based on age (40 or over), race, color, religion, sex (including pregnancy), sexual orientation, gender identity, gender expression, genetic information, disability, national origin, marital status, political belief, or veteran status.

Nearest Major Market: Dallas
Nearest Secondary Market: Fort Worth",Data Engineer - PCCI,"Dallas, TX",4.2,Unknown / Non-Applicable,-1,Information Technology,1 to 50 employees,Nonprofit Organization,2020-04-16T21:55:11.204721,http://www.pccinnovation.org/
"PNNL
3.8","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",1965,"Richland, WA",Energy,"*Organization and Job ID**
Job ID: 310677

Directorate: Energy and Environment

Division: Earth Systems Science

Group:Risk and Decision Sciences
*Job Description**
The Risk and Decision Sciences Group (RDS) at Pacific Northwest National Laboratory (PNNL) provides an opportunity to work in a dynamic environment solving challenging problems with national and international impact. The RDS team develops novel analytical methods and integrates them with state-of-the-art technologies to help clients define the decision workspace, prioritize risks, and develop defensible risk management strategies. The team provides innovative solutions throughout the entire decision-making process that serve as the foundation for developing and communicating strategies to minimize risks to individuals or the public, program life cycles, facility designs and operations, and the environment.

We are seeking a Data Scientist to assist in analyzing and implementing data-driven solutions to problems specific to risk analysis projects and programs. The qualified candidate will support the RDS team, which develops strategic approaches in a diverse range of nuclear and other science-related projects, including project risk, regulatory assessments, and engineering alternative studies. The qualified candidate shall demonstrate proficiency in the following skill sets:

+ Applies knowledge of statistics, mathematics, simulation, software development, domain knowledge, and data modeling to recognize patterns, address uncertainty, pose relevant questions, and make discoveries from structured and/or unstructured data.

+ Designs, develops, and implements methods, processes, and systems to clean and integrate diverse data for analysis.

+ Designs, develops, and evaluates models/advanced algorithms that lead to insight and/or value extraction from data.

+ Produces solutions driven by exploratory data analysis, often from complex and high-dimensional datasets.

+ Demonstrates ability to transfer skills across application domains.

Primary responsibilities include:

+ Ensuring that technical products for assigned tasks are delivered with the required level of quality, timeliness, and cost to meet or exceed sponsor expectations.

+ Participating in interdisciplinary engineering and scientific project teams and may interact with sponsors.

+ Exhibiting personal responsibility for and commitment to continued career development, performing organizational roles, complying with organizational requirements, taking action to ensure personal safety and the safety of others always.

+ Contributing to the technical content of proposals.

+ Providing technical support at various stages of the risk management cycle.

+ Interpreting results to identify issues, inconsistencies, and other problems.

+ Proactively identifying, promoting, and developing new technical capabilities.

+ Independently managing and completing recurring project specific tasks.

+ Working autonomously but seeking technical guidance when needed.
*The hiring level will be determined based on the education, experience and skill set of the successful candidate based on the following:**
*Level I:** Applies basic data science practice to well defined tasks with minimal oversight, but requires development of conceptual knowledge with regard to scientific or engineering practices within specialization. Building and maintaining effective internal relationships on individual or team level. Receives instruction on required tasks and reports results on time and on budget, while working under guidance from experienced staff. Takes initiative to set personal direction and goals. Contributes to technical publications and reports. BS/BA with 2 years of experience, MS/MA with 0-1 years of experience.
*Level II:** Building a reputation in the field of data science through diverse application of science and engineering principles and theories and develops novel technical approaches. Effectively teaming to share resources and optimize research at the group and division level. Receives guidance on new assignments, making preliminary selections on technical alternatives; independently completes recurring assignments. Defines and leads project work at a small task/project level, reporting results on time and on budget. Contributes to proposals. BS/BA with 2 years of experience, MS/MA with 0-1 years of experience, or PhD with 0-1 years of experience.
*Accountabilities:**
The successful candidate will be accountable to:

+ The Risk and Decision Sciences Group Lead (or delegate) for general staff performance and development, operational discipline (e.g., maintaining training qualifications, procedural compliance, safe operations), and promoting cooperation and teamwork within group and projects.

+ Program/Project Managers and Technology Leads for performing assigned project roles and following applicable project and laboratory procedures and performance of assigned tasks on time and within budget.
*Minimum Qualifications**
+ BS/BA with 0-1 years of experience or MS/MA with 0-1 years of experience.

+ The ability to obtain for a Q Clearance.
*Preferred Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0-1 years of experience, or PhD with 0-1 years of experience.

+ Degree from an accredited college/university in a technical field, preferably, although not necessarily, Mathematics, Engineering, Operations Research, Statistics, Data Science, or Economics.

+ Knowledge of and practical experience in use of quantitative risk models. This would also include an understanding of expert elicitation methods, Monte Carlo analysis, and decision tools.

+ The successful candidate will have a range of skills and familiarity with several of the following areas: probability, statistics, decision analysis, risk analysis, modeling and simulation, Multi-Criteria Analysis, and mathematical modeling.

+ Familiarity with Microsoft Project or Primavera P6

+ Past performance must demonstrate attributes of being self-motivated and self-directed, aptitude in managing multiple projects and successfully contributing to interdisciplinary teams.

+ In addition to analytical skills, a successful candidate will have excellent written and oral communications skills and experience in preparing, reviewing, and presenting the results of complex technical reports and recommendation to senior management.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Closing Statement**
+ U.S. Citizenship

+ Background Investigation: Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements for access to classified matter in accordance 10 CFR 710, Appendix B.

+ Drug Testing: All Security Clearance (L or Q) positions will be considered by the Department of Energy to be Testing Designated Positions which means that they are subject to applicant, random, and for cause drug testing. In addition, applicants must be able to demonstrate non-use of illegal drugs, including marijuana, for the 12 consecutive months preceding completion of the requisite Questionnaire for National Security Positions (QNSP).

_Directorate:_ _Energy & Environment_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Risk & Decision Sciences_

_Opening Date:_ _2020-03-24_

_Closing Date:_ _2020-04-17_",Data Scientist,"Richland, WA",3.8,$500 million to $1 billion (USD),-1,"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,2020-04-16T21:55:11.204721,-1
"Mars
3.9",-1,1911,"Mc Lean, VA",Food & Beverage Manufacturing,"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

351281

ds

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of Pets and Pet Owners to not only power Kinship’s businesses but also influence the next great ideas in the Petcare space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, Pets, and Pet Owners. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply data science approaches to understand and predict pet and pet owner behaviors
Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets – some readily available, and some you create and curate yourself
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and Pet/Pet Owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are:

Optimistic. Those who’s boundlessly energy and enthusiasm for what’s next shines through in everything they do. We seek to work with people who are intrinsically happy, and who will drive our vision and purpose while managing the complexities of our businesses.

Purposefully Inquisitive. Those who are courageous and use their deep business insights to cultivate innovation. We want the trailblazers in tech. Those who are entrepreneurs at heart, ask the tough questions, adapt quickly to new situations, and analyze data in new ways to push our big ideas forward.

Open to All. Those who are inclusive leaders, committed to learning, and leveraging our differences as strengths. We hire people who are naturally collaborative and thrive in a flat and flexible organization. Those who are thoughtful communicators, and seek to foster meaningful relationships across our community of diverse partners.

And for this role, we hope you have the following skills we require to round out our team:
Exceptional written & verbal communication, coupled with critical thinking skills.
Truly inspired by, and want to live, our purpose of creating a better world for pets.
1+ years’ experience in a data science role handling varied and complex data
Proficiency in machine learning modeling and statistical thinking (random forest, decision trees, supervised and unsupervised modeling, etc.)
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
If you also had these experiences, you’d knock it out of the dog park:
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how models and systems work to both non-technical and technical stakeholders.
.

Nearest Major Market: Portland Oregon
Job Segment:
Database, Scientific, Computer Science, Cloud, Statistics, Technology, Engineering, Data

Apply now »",Data Scientist,Oregon,3.9,$10+ billion (USD),-1,Manufacturing,10000+ employees,Company - Private,2020-04-16T21:55:11.204721,http://www.mars.com/
"IFG Companies
2.9","Colony Specialty, Markel, RLI",1985,"Hartford, CT",Insurance Carriers,"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",Data Scientist,"New York, NY",2.9,Unknown / Non-Applicable,-1,Insurance,201 to 500 employees,Company - Private,2020-04-16T21:55:11.204721,http://www.ifgcompanies.com/
