Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,timestamp,url
"Truist Financial
3.4",-1,2019,"Charlotte, NC",Investment Banking & Asset Management,"Specific information related to the position is outlined below. To apply, click on the button above. You will be required to create an account (or sign in with an existing account). Your account will provide you access to your application information. Need Help?

Should you have a disability and need assistance with the application process, please request a reasonable accommodation by emailing Accessibility or by calling 877-891-2510. This email inbox is monitored for reasonable accommodation requests only. Any other correspondence will not receive a response.

Regular or Temporary:
Regular

Language Fluency: English (Required)

Work Shift:
1st shift (United States of America)

Please review the following job description:
Truist Digital Commerce Software Development team is a highly collaborative, leading-edge tech stack development team with opportunities for continuous learning and career development. The Software Engineer will be part of an agile scrum team and function as a developer to help deliver the next-gen digital assets to enable the business. This includes developing Angular SPA, SpringBoot REST API, BPM/Workflow, SOAP, and with opportunities to learn and be part of cloud enablement.

Minimum qualifications:
Bachelor’s degree in Computer Science, Management Information Systems, or similar technical field of study with 4 years of relevant work experience or 6 years of development experience in lieu of of bachelor’s degree.
Good communication skills. Able to articulate clearly his/her ideas
1 years of Software development experience in Java with SpringBoot or angular SPA
Has solid secured coding background
Understanding of CI/CD pipeline tools and knowledge of best practices
Capable of learning and choreographing workflow using BPMN2.0 using tools such as Camunda, JBPM, etc.
Worked in an agile development environment and is familiar with the concepts
Proficient in SQL DDL and DML with experience in ORM frameworks such as Hibernate. Experience with Application Performance Monitoring and code profiling
Is well versed in Java / JEE and coding best practices.
Some experience in CI/CD and Dev Ops , Maven, Jenkins, GitHub, etc.

Preferred qualifications:
Java certification.
Experience, working in a fast paced, results-oriented technology environment.
Interest and ability to learn other tools and programing languages as needed.
SAFE Agile development Certification

Responsibilities:
Work closely with product, design and UX to develop a new banking experience
Contribute to design and refine features and functionality with the team
Participate in code reviews
Participate in all Agile ceremonies
Make sure to maintain high quality code using industry best practices
Hands-on development to support each scrum deliverables (Java, Angular, BPM, SQL, Maven Build, Artifactory, GitLabs, etc.)
Following the SDLC process and creating necessary artifacts
Configure the CI/CD pipeline
Understanding the business requirements, and developing and executing test cases to support both SIT and UAT
Serve as 3rd line production support to triage and resolve issues.

Truist supports a diverse workforce and is an Equal Opportunity Employer who does not discriminate against individuals on the basis of race, gender, color, religion, national origin, age, sexual orientation, gender identity, disability, veteran status or other classification protected by law. Drug Free Workplace.

Thank you for your interest in Truist! BB&T and SunTrust have come together in a transformational merger of equals to create Truist, the premier financial organization in the country. You may notice references to our legacy company names, BB&T and SunTrust, in places throughout this site. All such references should be understood to refer to Truist moving forward while we continue to transition to the Truist name.

EEO is the Law Pay Transparency Nondiscrimination Provision E-Verify

Thank you for your interest in Truist! BB&T and SunTrust have come together in a transformational merger of equals to create Truist, the premier financial organization in the country. You may notice references to our legacy company names, BB&T and SunTrust, in places throughout this site. All such references should be understood to refer to Truist moving forward while we continue to transition to the Truist name.",Software Engineer,"Charlotte, NC",3.4,Unknown / Non-Applicable,-1,Finance,10000+ employees,Company - Public,2020-04-16T19:58:31.730121,http://www.thepremierfinancialinstitution.com/
"Tapjoy
3.9","FLURRY, Chartboost",2007,"San Francisco, CA",Internet,"Position Title: Software Engineer

Position Description:
You're excited about developing and delivering web, mobile, and video experiences supporting hundreds of millions of consumers and thousands of partners.
While you may have an area of concentration, you understand technologies up and down the software stack.
You're an effective collaborator, working efficiently with product management, design, and technology teams across a fast moving organization to bring innovative products from concept to delivery on millions of devices with measurable benefits.
You find learning and developing new technologies thrilling and engaging.
You're excited to mentor and teach other engineers because you love to share knowledge.
You know how to balance trade offs between perfecting design and speed of delivery of product.
You might work on:
Core financial pipeline for processing all ad transactions.
Instrumenting and analyzing data in BigQuery (and other tools) at large scale to measure the results of deployed code.
Designing new ways to visualize real time data on heads up displays for both internal stakeholders and external clients.
Envisioning, designing and developing solutions across the stack to enable rapid delivery of innovative consumer mobile interactive user ad experiences.
Developing in a Ruby on Rails application (not just UI) running on billions of mobile devices.
Technologies in our stack:
Full stack software development: Ruby, Rails, Go, Scala, REST, Distributed Systems
Front end web development: Javascript (coffeescript and ES6), React, HTML5, CSS, webpack, npm
Data Storage: MySQL, Riak, PostgreSQL, Couchbase
Native mobile development: iOS (Objective C), Android, Unity, Air Cloud services: AWS, EC2, SQS, S3
Requirements:
You have a BS in Computer Science (or related field)
Bachelor's Degree + 2 years of professional work experience or Master's Degree
You ideally have experience with web stacks under scale
Tapjoy is a leading mobile advertising and app monetization company. Our platform empowers advertisers to connect with over 975 million monthly active users through value exchange advertising that drives awareness, engagement and the metrics that matter most to their overall growth. Meanwhile, companies such as Scopely, Crowdstar, Topps and many of the Top 200 grossing app publishers trust our platform to monetize their content, grow their audiences and reward their users. Founded in 2007 and headquartered in San Francisco, Tapjoy is a global organization with more than a dozen offices worldwide.

Tapjoy is an equal opportunity employer. We believe that diversity and inclusion lead to stronger, more innovative teams and better business results; we want to draw from the broadest talent pool possible and encourage qualified applicants. Tapjoy does not discriminate on the basis of sex, race, ethnicity, color, age, sexual orientation, gender (including identity and expression), disability (mental or physical), religion, national origin, citizenship, marital status, military or veteran status, or any other protected classification protected by applicable law; we will provide reasonable accommodations for qualified individuals with disabilities, and pursuant to applicable fair chance ordinances, we will consider for employment qualified applicants with arrest and conviction records.

For more information, please visit www.tapjoy.com.

]]>",Software Engineer,"Cambridge, MA",3.9,$10 to $25 million (USD),-1,Information Technology,201 to 500 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.tapjoy.com/
Decisio Health,-1,-1,"Houston, TX",-1,"You'll be part of the team responsible for building and maintaining CI/CD from the microservice, to the platform responsible for deploying, to the analytics and monitoring of production instances. Coding skills are a requirement due to Infrastructure as code. Experience with Python and GO is a plus as our microservices are Python 3 and GO is used in Kubernetes customizations.
Some of the things you'll be working on:
VMware and AWS Terraform/Kubespray platform deployment, upgrades, maintenance.
Automation: Deploying our microservices to staging, production, and on-prem development
Automation: QA pipeline and testing suite
Monitoring and alerts with Datadog, Grafana, Jaeger, Prometheus
Development platform with tools like Skaffold
Security with Vault, WSO2, Apogee, Dex/Keycloak and Let’s Encrypt
Packaging with Helm 3 and Packer
You’ll be joining an experienced team that uses modern tools (not limited to) Kubernetes, Docker, Terraform, Packer, Vault, GitHub, Codefresh, and Datadog. We use GitHub for version control and Trello for project organization.
Skills & requirements
You’re able to get things done with little hand holding
You take security and quality very seriously
You have extensive experience with containerization
You have extensive experience with orchestration tools such as Terraform, Kubernetes, Packer, and Ansible
You have extensive experience with packaging tools like Helm
You have extensive experience with TLS certificates and management with ACME compatible CA’s like Let’s Encrypt.
You have extensive experience on the command line and writing shell scripts
You have experience with CI/CD pipelines like Codefresh/Travis
You have experience with version control like Git
You have experience with monitoring infrastructure and code using tools like Datadog, Grafana, Jaeger, and Prometheus
You have experience with authorization middleware such as WSO2, Apogee, Keycloak, or Dex
Nice to have
Python 2/3 experience
GO experience",Senior Software Engineer,"Houston, TX",-1.0,Unknown / Non-Applicable,-1,-1,1 to 50 employees,Unknown,2020-04-16T19:58:31.730121,-1
"Guidewire Software, Inc.
4.1","Oracle, Accenture, Duck Creek Technologies",2001,"San Mateo, CA",Computer Hardware & Software,"Guidewire's development team is looking for a smart, proactive, and results-oriented Software Engineer to build elegant solutions for the property & casualty insurance industry's complex business domain and make our industry-leading products even better. The team is looking for an enthusiastic engineer who is passionate about building high quality software with a great team and improving the customer experience for millions of people who use our products every day.

Being part of the Guidewire team, you will be working on some of the latest technologies in frontend development. We are focused on building the best solutions that allow our product vision, architectures and ideas to constantly improve. We are also always striving to optimize the processes that support our development. The successful candidate will work on the entire technology stack, from our core systems and build environments right through to the Web Application front ends.

Successful software engineers at Guidewire typically have:
A desire to work collaboratively in an empowered, small, cross-functional team
Pride of owning their work - architecture, design and implementation of our products.
A desire to maintain and promote a healthy codebase and ensuring high quality of products
Willingness to mentor less experienced colleagues
Curiosity and internal motivation to constantly improve
Excellent communication skills, comfort level to speak their mind and defend ideas based on merit, yet humility and hunger to learn from others
We have a work environment that encourages individual initiative, experiments with new ideas for continuous improvement, and lets great people do great work by minimizing the hassles of hierarchy and bureaucracy. You must be a self-starter and able to perform with minimal supervision while working in a team environment, communicating effectively with your colleagues.

Key qualifications include experience with:
Strong experience with modern web technologies, including JavaScript (ES6+), HTML5, CSS / Sass and market leading frameworks (React is a preference)
Experience working in an Agile work environment and knowledge of Agile methodologies.
Experience in developing responsive applications with a good architecture and UI.
Strong desire to contribute to architecture, design and implementation of products
Skilled at writing unit tests and testable components.
Experience building automation scripts and tools to support the CI &CD pipeline
Knowledge in design patterns and best coding practices.
Clear written communication and documentation skills.
Having contributed to open-source development is an advantage.
An aptitude for continuous learning and exploration of new technologies.
A typical candidate has a Computer Science degree or equivalent.

The ideal candidate will share our core values: Collegiality, Integrity, and Rationality.

Collegiality - We value strong teams. We work together as professional equals. We strive to continuously improve our processes and make realistic assumptions to maintain a reasonable work-life balance. We are trusted to manage our own time. We value ideas, not titles. We welcome and consider contrary opinions.

Integrity - We insist on truthful relationships with customers, prospective customers, partners, investors, and each other in everything that we do.

Rationality - We communicate through clear arguments. We decide carefully based on factual evidence. We like calm, systematic, thoughtful solutions. We believe in testing. We never assume that we're building software the ""best"" way, and constantly seek to improve our processes.

Why Guidewire?

Guidewire exists to deliver the industry platform that P&C insurers rely upon to adapt and succeed in a time of accelerating change—and to ensure that every customer succeeds in the journey. We provide the software, services, and partner ecosystem to enable our customers to run, differentiate, and grow their business.

Guidewire Insurance Platform is the P&C industry platform that unifies software, services, and partner ecosystem to power our customers’ business. Insurance Platform provides the standard upon which insurers can engage their customers, optimize their operations, drive smart decisions, and innovate quickly. We are privileged to serve more than 350 P&C insurers in 32 countries. We invest heavily in R&D to build a technology platform that combines three elements—core processing, data and analytics, and digital engagement—to enhance insurers’ ability to engage and empower their customers and employees.

See and hear from our employees at https://careers.guidewire.com/","Front End Software Engineer - Bedford, MA","Bedford, MA",4.1,$500 million to $1 billion (USD),-1,Information Technology,1001 to 5000 employees,Company - Public,2020-04-16T19:58:31.730121,http://www.guidewire.com/
"Silicon Valley Bank
3.3","Square 1 Bank, First Republic Bank, Comerica",1983,"Santa Clara, CA",Banks & Credit Unions,"Make Next Happen Now. For more than 30 years, Silicon Valley Bank (SVB) has helped innovative companies and their investors move bold ideas forward, fast. SVB provides targeted financial services and expertise through its offices in innovation centers across the world. With commercial, international and private banking services, SVB helps address the unique needs of innovators.

We are looking for a Software Engineer I to join our growing digital banking and API banking delivery team, which provides online banking, mobile and API’s. The ideal candidate should have the necessary skills and experience to provide technical guidance, estimation of efforts, understanding and deciding upon the optimal technology solution to achieve the desired business needs, day to day application support, should be able to navigate differing levels of gray/unknowns, and have excellent communication skills with other IT management levels, individual contributors and business stakeholders. They must be able to move at a rapid rate of execution to deliver requests and take advantage of any opportunities as they present themselves and navigate through any resource constraints. They must have both the short- and long-term strategic view when deciding on the best technical approach. They must be able to develop code and effectively oversee distributed development team members.
As a Software Engineer I, primary responsibility will be towards the development and support of Digital, Payments, Cards, Foreign Exchange and other banking services. The Software engineer will be responsible for all software aspects within the team including research, design, technology insertion, development, testing and supporting them.
Design and develop technical solutions that meet user needs with respect to functionality, performance, scalability, and reliability.
Oversee proactive maintenance on our existing SaaS and on premise applications within the Digital, Mobile, Cards, Merchant Services, Foreign Exchange, Core banking and Trade Finance space to ensure our mission critical systems remain stable, are able to scale as our business grows, and remain fit-for-purpose.
Coordinate and assist with troubleshooting of code defects, data errors and configuration problems to determine the origin of application error.
Drive departmental best practices, guidelines implementation and adhere to standards.
Demonstrated expertise in designing and developing real-time integrations, file-based integrations and be able to optimize the use of database level processing.
Empathy with developers. Innate desire to create a superlative developer experience down to the last detail.
Deep love of building elegant, maintainable, well-documented, secure code.
Abstracting and refactoring should be a passion, not a chore.
Drive to learn new things and go above and beyond the call of duty.
Always working to improve yourself and constructively support the team around you.
Bachelor’s degree in computer science
Must have hands on technical experience for medium to large sized projects.
Ability to influence the architecture and design
Demonstrated expertise developing rich and responsive web applications and API’s
Experience and exposure developing mobile applications (browser based, hybrid or native)
Knowledge of effective UI testing frameworks
Experience in technologies such as Java, JEE, JSON, Rest, Angular JS, Node JS, React JS, Loopback and API frameworks
Knowledge of CI/CD processes for build and deployment of various applications
Familiarity with security concepts
Strong passion towards building tools and systems that enable engineers to push code quickly and safely
Excellent communication skills take initiative attitude and very collaborative
Experience in virtualization and cloud frameworks such as VMWare and OpenStack
Experience in tools and deployment frameworks such as Git/Bitbucket, Jenkins, Puppet, Oracle, WebLogic, etc.
Build and deployment experience on both Windows and Linux
Full stack project experience is preferred
Knowledge of Agile methodologies is a plus",Software Engineer I,"Santa Clara, CA",3.3,$1 to $2 billion (USD),-1,Finance,1001 to 5000 employees,Company - Public,2020-04-16T19:58:31.730121,http://www.svb.com/
"MedBill
4.4",-1,2005,"Pittsburgh, PA",Staffing & Outsourcing,"We are looking for a Software Engineer to assist with the development and launch of a new SAAS product. This position provides great possibility for advancement and growth through team leadership opportunities and being present at launch of an industry changing software solution.

The Right Fit:

Culture is important to us. We are looking for someone who shares our culture of each team member having the ability to impact the business in a positive way.

The right person will be a creative and collaborative individual. The right candidate should be a good communicator and be passionate about learning and adding value in a team environment.

You will have the opportunity to:
Become familiar with MedBill’s software offerings.
Participate in development team meetings
Interact with our Bamboo, BitBucket and Jira environments
Assist the Development team in Coding, Testing and Maintaining web applications.
Take part in the Agile process, grooming different solutions to challenges
Help steer the trajectory of our current version launch in addition to future features.
Our Ideal Candidate will have:
A bachelor’s degree in Computer Science or a related Major
2+ years experience in application development, coding, and troubleshooting
Knowledge and experience with Microsoft SQL Server in developing queries, tables, functions, and stored procedures
Knowledge and experience with OOPs, C#, .NET
Experience with the latest and greatest web standards, including HTML5 and CSS3
Knowledge of web libraries and frameworks such as ReactJS, Redux and AngularJS.
Familiarity with ES6 and newer versions of JavaScript
Prior Knowledge of QA Testing.
Experience with Bamboo, BitBucket & Jira a plus
A constant desire to grow, learn and explore new things
We seek out and reward people who are adaptable, accountable, collaborative, curious and of high integrity. We’re looking for people with a passion for success and who are looking to grow with our organization!",Software Engineer,"Blowing Rock, NC",4.4,$5 to $10 million (USD),-1,Business Services,51 to 200 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.medbill.net/
"Allyis
3.8",-1,1997,"Kirkland, WA",Staffing & Outsourcing,"Allyis is seeking a software Engineer who will be supporting the continuous improvements efforts within the Finance-Technology team. You will have an opportunity to demonstrate up-to-date expertise and apply this to the development, execution, and improvement of action plans.
4 years of experience in modern development languages (JavaScript, NodeJS, Angular, React, etc)
Experience creating and consuming ReST API
Experience with MongoDB and/or MySql
Participates in the discovery phase of small to medium-sized projects to come up with high level design
Troubleshoots business and production issues",Software Engineer,"Bentonville, AR",3.8,$25 to $50 million (USD),-1,Business Services,201 to 500 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.allyis.com/
"Arena Solutions
4.3",-1,2000,"Foster City, CA",Computer Hardware & Software,"Are you looking for a new challenge and rewarding career? At Arena Solutions, we help high tech manufacturers and medical device companies create products that change the world. Our cloud-based product lifecycle management (PLM) and quality management (QMS) software is used by leading product innovators like Nutanix, Bio-Rad, Sonos, Teleflex, and Citrix. Join our team and you will thrive in an award-winning workplace that fosters a work-life balance.

Arena Solutions is seeking a Software Engineer to join our engineering team that designs, develops, and delivers the web-based software-as-a-service (Saas) applications that are changing the way leading technology and product companies get their products to market. We’re looking for someone who appreciates both the joy and responsibility of delivering web services that matter. We are serious about delivering secure and reliable applications and services, but we also think great engineers thrive in a culture of pride and self-discipline rather than management-imposed rule-making. We use agile methodologies and best-of-breed open source tools to make our development process open, collaborative, and fun. In our technical operations, we apply the same simple but rigorous approach to designing and managing our infrastructure.

Why Join Arena?
1,300+ customers love us in the high-tech manufacturing and medical device markets
#1 Leader voted by customers among PLM software platforms
8 years as Top Company to Work For
96% approval rating of our CEO, Craig Livingston
Check us out on G2 Crowd, Trust Radius, GlassDoor and arenasolutions.com/about/awards/
Responsibilities:
Build and maintain the Arena SaaS application platform, implementing new functionality and platform or product enhancements as needed.
Design and implement secure, scalable components to provide platform services like single sign-on, object caching, and event and message handling.
Document and communicate your designs and interfaces for use by other engineers.
Leverage unit- and integration-test automation to ensure code quality and maintainability.
Qualifications:
BS Software Engineering/Computer Science or equivalent.
3+ years of professional related experience in Java/Scala and service-oriented application development.
Ability to master and become productive in established architectures and applications.
Ability to design and develop using Object Oriented Design principles and software design patterns to attain high re-usability and maintainability.
Experience with or knowledge of the Spring framework. Experience with Akka desirable but not required.
Hands-on experience in designing and developing high volume web services using API Protocols and Data Formats (REST, JSON & XML).
Experience with Atlassian tools like JIRA, Crucible, and Bamboo, etc.
Strong oral and written communication skills; presentation skills.","Software Engineer, Platform","Foster City, CA",4.3,$25 to $50 million (USD),-1,Information Technology,51 to 200 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.arenasolutions.com/
"Censys
5.0",-1,2017,"Ann Arbor, MI",Enterprise Software & Network Solutions,"We’re looking to hire a backend engineer to work on our building the internals of our software-as-a-service applications. Censys builds and operates distributed data-collection infrastructure for Internet-wide scanning, bulk DNS resolution, and X.509 certificate ingestion. Censys is building a SaaS product that enables researchers and analysts to explore and draw security insights from this data. Your job will be to go beyond ingestion and presentation, and help us build the infrastructure that will power the new product. At Censys, we believe in working iteratively, but we’re always thinking about the big picture. We’re not looking to just to add more internal services. We want to build a platform that enables fast development of future products, and integration with new data collection methods. You’re someone who can look not just at initial development, but ongoing maintenance and monitoring. You’re got an eye towards delivery and developer experience, and everything you do can be built upon in the future by others.

What You’ll Do
Design and build the infrastructure to power future products and features Censys
Architect solutions to enrich data collected from billions of network handshakes daily
Calculate the graph structure of data in both streaming and batch settings
Solve problems across multiple languages and codebases
Skills You Have:
3+ years software engineering experience with an emphasis working back-end
Experience designing fault-tolerant distributed systems
Experience writing scalable web services in a cloud-based architecture (AWS, GCP, or Azure)
We use gRPC, but experience with any RPC IDL is a fine substitute
You’re experienced with patterns for concurrency. We write a lot of concurrent Go (but don’t expect that you’ve written it before)
You can build testable, loosely-coupled systems in cloud environments
You understand how to containerize applications and their build process
You also:
Can collaborate and communicate with other engineers working on related systems
Can lead technical architecture discussions and help drive technical decisions within your team
Are a strong communicator. Explaining complex technical concepts to other cross functional teams is no problem for you
We value diversity and are committed to creating an inclusive environment for all employees. Censys is an equal opportunity employer.",Back-end Software Engineer,"Ann Arbor, MI",5.0,Unknown / Non-Applicable,-1,Information Technology,1 to 50 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.censys.io/
"Klaviyo
4.7",-1,2012,"Boston, MA",Computer Hardware & Software,"Klaviyo is growing fast and we have openings for all skill levels across all of our teams. Learn more about our engineering culture at https://klaviyo.tech

We love tackling tough engineering problems and look for Software Engineers who specialize in certain areas but are passionate about building, owning & scaling features end to end from scratch and breaking through any obstacle or technical challenge in their way. We push each other to move out of our comfort zone, learn new technologies and work hard to ensure each day is better than the last.

Klaviyo operates a real-time data platform coded in Python built for massive scale on Amazon Web Services (AWS). Engineers come to Klaviyo with experience in a variety of languages and from a number of disciplines.

Technologies we use (not exhaustive):
Python, Django, Celery

MySQL, Cassandra, RabbitMQ, Redis

HTML, JavaScript, LESS, Backbone.js, React

Amazon Web Services (EC2, RDS, Aurora, etc.)Terraform, Ansible, Packer, and other DevOps tools

How you will make a difference:


Wholly owning features that thousands of our customers rely on daily to reach 100,000,000+ of consumers to drive their business forward.
Working on crafting our highly scalable real-time data pipeline that processes billions of events weekly across data sets growing to petabyte scale.
Working on deep analytics system that provides insight into hundreds of terabytes of data.
Be responsible for the mission, technical direction and operations of projects that have immediate impact.
Helping architect and design robust and high performance data processing and storage systems leveraging new databases to serve different internal and external use cases. Contribute to open source data processing technologies.
Contributing to the company as a subject matter expert in multiple areas, constantly pushing yourself to be a better engineer and to level up all of your peers within your team and within Klaviyo.

Who you are:


Have experience building products that matter and pushing yourself and your team to be better engineers and build a product with passionate advocates
Enjoy working with new technologies ranging from the frontend to backend, and are particularly passionate and an expert in multiple stack areas. You show this by having strong and opinionated experience with various technologies and know how to pick the right tool for any job
Love digging into performance and scalability issues to drive breakthrough solutions-- whether it's a slow loading UI or too many clicks in a workflow, a database query timing out, or a queue that just won't drain. You recognize all problems can be solved
Enjoy shipping code early & often in an agile fashion, pairing with product management to craft better software by soliciting feedback from thousands of end users
Like working on small, autonomous agile teams. At Klaviyo, you will have ownership of features, but you'll collaborate with everyone to make sure we produce the right solution

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.

Thank you!",Software Engineer,"Boston, MA",4.7,Unknown / Non-Applicable,-1,Information Technology,201 to 500 employees,Company - Private,2020-04-16T19:58:31.730121,http://www.klaviyo.com/
