URI,URILabel,comURI,founded_by,founded_byLabel,CEO,CEOLabel,parent,parentLabel,subsidiary,subsidiaryLabel,owned_by,owned_byLabel,owner_of,owner_ofLabel,total_revenue
http://www.wikidata.org/entity/Q216272,23andMe,https://www.23andme.com,http://www.wikidata.org/entity/Q2069573,Anne Wojcicki,http://www.wikidata.org/entity/Q2069573,Anne Wojcicki,,,,,,,,,
http://www.wikidata.org/entity/Q216272,23andMe,https://www.23andme.com,http://www.wikidata.org/entity/Q2069744,Linda Avey,http://www.wikidata.org/entity/Q2069573,Anne Wojcicki,,,,,,,,,
http://www.wikidata.org/entity/Q216272,23andMe,https://www.23andme.com,http://www.wikidata.org/entity/Q13377793,Paul Cusenza,http://www.wikidata.org/entity/Q2069573,Anne Wojcicki,,,,,,,,,
http://www.wikidata.org/entity/Q4658862,A Place for Mom,http://www.aplaceformom.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30338853,ABB (United States),http://new.abb.com/us,,,,,http://www.wikidata.org/entity/Q52825,ABB Group,,,,,,,
http://www.wikidata.org/entity/Q16824238,Acceleron Pharma,http://www.acceleron.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q30253430,Advanced Bioscience Laboratories,http://www.ablinc.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q919300,AeroVironment,http://www.avinc.com,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q16824426,Agios Pharmaceuticals,http://www.agios.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q61934361,Alector (United States),https://www.alector.com/,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q4736189,Altarum Institute,http://www.altarum.org,,,,,,,http://www.wikidata.org/entity/Q30284277,Palladian Partners,,,,,
http://www.wikidata.org/entity/Q73883753,Alteryx,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q3884,Amazon,https://www.amazon.com,http://www.wikidata.org/entity/Q312556,Jeff Bezos,http://www.wikidata.org/entity/Q312556,Jeff Bezos,,,http://www.wikidata.org/entity/Q147505,Zappos.com,,,,,232887000000.0
http://www.wikidata.org/entity/Q3884,Amazon,https://www.amazon.com,http://www.wikidata.org/entity/Q312556,Jeff Bezos,http://www.wikidata.org/entity/Q312556,Jeff Bezos,,,http://www.wikidata.org/entity/Q223142,Box Office Mojo,,,,,232887000000.0
http://www.wikidata.org/entity/Q3884,Amazon,https://www.amazon.com,http://www.wikidata.org/entity/Q312556,Jeff Bezos,http://www.wikidata.org/entity/Q312556,Jeff Bezos,,,http://www.wikidata.org/entity/Q230051,Alexa Internet,,,,,232887000000.0
