Company Name,Competitors,Founded,Headquarters,Rating,Revenue,Sector,Size,Type of ownership,Website,Company Description,wikisite,uri_name
1010data,,2000.0,"New York, NY",2.8,$50 to $100 million (USD),Information Technology,201 to 500 employees,Company - Private,,,,1010data
1901 group,,2009.0,"Blacksburg, VA",3.0,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,1901_group
23andme,"Ancestry, Verily Life Sciences, Abbott Laboratories",2006.0,"Sunnyvale, CA",4.0,,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,http://www.23andme.com/,,http://www.wikidata.org/entity/Q216272,23andme
3md inc.,,,,,,,,,,,,3md_inc
7park data,,2012.0,"New York, NY",3.8,,Business Services,51 to 200 employees,Company - Private,http://www.7parkdata.com/,,,7park_data
<intent>,"Clicktripz, SmarterTravel",2009.0,"New York, NY",4.6,$100 to $500 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,intent
a-line staffing solutions,,2004.0,"US, Utica, Michigan",,,,500 to 999 employees,,http://www.alinestaffing.com/,"A-Line Staffing Solutions is a premier staffing company that supplies professionals to the Healthcare, Insurance, Pharmaceutical, and Information Technology industries. Founded in 2004, A-Line Staffing Solutions has been a leader in matching talented individuals to the jobs that our clients NEED to fill. We are experts at offering creative staffing solutions to employers, and we are hiring every day. A-Line Staffing can offer short-term, long-term and direct-hire opportunities to professionals across the United States. We hire only the most qualified and talented individuals in the country. Our recruiting, selection and stringent screening processes have strengthened our reputation for delivering quality customer service and unbeatable talent. For our commissioned clients, A-Line Staffing closely follows the standards and practices established by The Joint Commission. For all of our clients and employees, our commitment to continual improvement combined with a strict code of ethics provides an atmosphere of respect and unparalleled professionalism. To find out how A-Line Staffing Solutions can share our talent with you, please contact us today. We are eager to include you among our most valued and satisfied clients. If you are a professional and would like to learn more about open opportunities in your area, please contact us today. We are always searching for talented and enthusiastic professionals",,a_line_staffing
abacus service operation,,,,,,,,,,,,abacus_service_operation
abb,"GE, Siemens, Schneider Electric",1891.0,"Zurich, Switzerland",3.8,$10+ billion (USD),Manufacturing,10000+ employees,Company - Public,http://www.abb.com/,,http://www.wikidata.org/entity/Q30338853,abb
acara solutions,,1957.0,"US, Williamsville, New York",,,,"5,000 to 9,999 employees",,https://acarasolutions.com/,"Acara (formerly Superior Group) understands that finding that rewarding next step along your career path can be challenging. We also understand the legwork that goes into being your career advocate. Our award-winning recruiters focus on the candidate experience, getting to know you and your goals, both long- and short-term. They get to know your skills and your growth trajectory so that they not only can represent you in front of our more than 1,000 customers with opportunities across North America, but also connect you with the best-fit role. After all, optimal workforce experiences come when employees are matched with companies who need—and value—their skills and contributions.

That’s why, for 60 years, we’ve engaged our candidates with a high-touch, consultative approach that affords us a clear vision of ideal career paths, and it’s why we consistently gain the trust of our employees and customers alike. Acara is in the business of scouting talent, evaluating human potential, recognizing commonalities between people and employers, and changing lives in the process. Because in an increasingly commoditized world, we believe some things still deserve a personal touch. Finding the best-fit jobs for you is one of them.

Simply stated, we see fit.",,acara_solutions
