Job Title,Job Description,Job Id,Location,Company Name,Company Description,Headquarters,Size,Founded,Industry,Website,SE/DS
"(Sr/Lead) Full Stack Software Engineer - Java, Cloud Services","Job Title: (Sr/Lead) Full Stack Software Engineer - Java, Cloud Services
Job Location: Irving, TX

Job Salary: $130,000-$155,000 DOE

Requirements: 5+ years development experience building Java/J2EE applications, experience developing microservices with SpringBoot/SpringCloud



Based in beautiful Irving, TX we are a well-established, rapidly growing, luxury fashion company. Our technology is perfectly aligned with the newest, most innovative software trends, and we're making a serious impact on the marketplace. Our mission is to enhance the customer experience across all channels and brands.



Due to such rapid growth, we are actively hiring a (Sr/Lead) Full Stack Software Engineer with 5+ years development experience building Java/J2EE applications, experience developing microservices with SpringBoot/SpringCloud, experience developing RESTful Web Services/Web APIs, and knowledge in TDD, CI/CD using Jest, Mocha/Enzyme, Gradle, Jenkins 2.0.



You will be building our global digital platform, joining a highly collaborative, hardworking team, and developing with modern technology to elevate our brand. We support the growth of our engineers while we have a ton of smart people to work with and learn from.



If you have this experience, please apply immediately. We are actively interviewing this week and next for this high profile position.
Top Reasons to Work with Us
Compensation: $130,000-$155,000 DOE
Growth: We work to support our team for long term growth

Technologies: Modern, evolving tech

Work-Life-Balance: Work-from-home option once a week. We also offer pre-discussed flexible schedules
What You Need for this Position
Must Have's:


- 5+ years professional development experience building Java/JEE applications

- Micro-services development experience using SpringBoot/SpringCloud

- RESTful Web Services

- Web APIs

- TDD

- CI/CD

- Jenkins

- JavaScript

- React

- Node



Nice to Have's:



- Bachelors Degree in Computer Science or Engineering

- Responsive website development experience

- Machine learning development experience

- SQL

- NoSQL

- Jest

- Mocha/Enzyme

- Gradle

- Spinnaker

- CircleCI

- Serverless / FaaS, AWS based development experience

- VueJs

- Yarn

- Babel

- iOS/Android

- React Native
What's In It for You
- Competitive Pay
- Medical

- Dental

- Vision

- PTO/Vacation/Sick

- Work-Life-Balance

- Growth Opportunities

- Great Company Culture

- Modern and Evolving Technology
So, if you are a (Sr/Lead) Full Stack Software Engineer with this experience, please apply today!",217263900,"Irving, TX 75039",CyberCoders,"CyberCoders, a division of On Assignment, is a leading permanent placement recruiting firm. Through our innovative technology and efficient recruiters, CyberCoders helps find the right candidate fast.
Founded in 1999, CyberCoders is built on a success oriented culture. Above all – we know both candidates and clients want quality and they want it now. No other recruiting firm can offer Cyrus, our proprietary technology built to search smarter and quicker, matching the best applicant to the right job.","US, Irvine, California",100 to 499 employees,1999.0,Staffing/Employment Agencies,http://www.cybercoders.com,SE
Software Engineer Cloud Components,"Position Description:
Hands on paired programming using Agile, BDD/TDD development principles
Requires working with a Product Owner, Product Manager and Product Designer to develop new Micro services
Span multiple environments (Vehicle, Cloud, Mobile) to support end-to-end product delivery
Collaborate with global, cross-functional stakeholders, including Global Data Insights and Analytics (GDIA), Product Development (PD), Marketing Sales and Service (MSS), and Information Technology shared services

Skills Required:
3+ years of experience with AWS Cloud components and these include: Cloud Services, queues and event hubs, notification Services and caching
Strong experience in Core Java/Spring/Spring Boot framework is a must
Expertise in Micro services and Web services REST (Web Api) and SOAP (WCF)
Strong experience using Cloud Design Patterns and SOLID Design Principles and OOP Concepts
Solid understanding of the asynchronous programming model and its relationship to multithreaded programming
Experience in Servers (Apache Tomcat, WASCE and Weblogic)
Experience in IDE tools (IntelliJ, STS, Eclipse, Net Beans and RAD), GIT, TFS
Understanding of Kafka, Rabbit MQ, Mongo, Cosmos DB, Liquibase, ThymeLeaf, and PostgreSQL
Extensive knowledge in TDD, Junit and Mockito/PowerMock
Implemented solutions leveraging cloud storage solutions such as Blob and Tables
Hands on experience with global, large applications and global customer base
Must have strong analytic and problem solving/troubleshooting skills
Strong communication skills

Experience Preferred:
All Software Engineers are required to take HackerRank Coding Assessment

Education Required:
BA/BS in Computer Science or related field, or equivalent experience

About Advantage Resourcing
Advantage Resourcing makes all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, ancestry, medical condition, age, marital status, national origin, citizen status, political affiliation, union membership, genetic information, physical or mental disability, veteran status, denial of medical or family leave, pregnancy or pregnancy disability leave or any other protected group status as defined by federal, state or local law. We will provide reasonable accommodations throughout the application or interviewing process. If you require a reasonable accommodation, contact us. Advantage Resourcing is an E-verify employer.",217266638,"Taylor, MI 48180",Advantage Resourcing,"At Advantage Resourcing, our primary objective is to perfectly align the best people with the appropriate jobs. These jobs may be temporary assignments or career positions. We place talented people in a wide variety of jobs working with our client companies in areas such as: engineering, IT, technical, manufacturing, skilled trades, distribution, call centers, clerical, accounting, finance and sales.
Our strength is being able to solve our client's workforce needs by matching people that have the right skills, knowledge and motivation to each opportunity. Advantage Resourcing can help you discover the personal and career success you desire.
Advantage Resourcing Americas, Inc. is an Equal Opportunity Employer offering employment without regard for race, color, religious creed, national origin, ancestry, gender, marital status, age, sexual orientation, sex, gender identity, disability, veteran status, or other legally protected categories. Advantage Resourcing is a VEVRAA Federal Contractor.","US, 220 Norwood Park South Norwood, Massachusetts",500 to 999 employees,1969.0,Staffing/Employment Agencies,https://www.advantageresourcing.com/,SE
"Java or Golang Backend Software Development Engineer in Memphis, TN.","Java or Golang Backend Software Development Engineer in Memphis, TN.
 Summary
Company’s software development philosophy is that software engineers are product focused.
They work on a product and understand all layers of the software stack.
The core skills that are applicable on a daily-basis are essentially the fundamentals of computer science and logical reasoning.
Engineers are responsible for documentation, automated tests and of course writing the code itself.
 Responsibilities
Write documentation for the code to be written
Write automated tests for code to be written
Implement functionality such that automated tests successfully pass and according to coding standards
Work with product managers and UX designers to deliver most optimal and customer-friendly implementation.
Be on-call on a rotating basis for the services owned by the team
Debug production issues and create subsequent mitigation plans
Optimize performance of existing implementations
Own the product or component entirely
Bring forward ideas to experiment and work in teams to transform ideas to reality
Prioritize tasks with the scrum master that leads the team to be successful
 Required Skillsets
At least 3+ years in product development experience, with strong full stack engineering background
Strong language skills in languages such as C, C++, Java, Golang, .Net Core
Strong Angular
Fluency in SQL/SQL-like query
Strong understanding of various data storage options such as relational, no-SQL, etc.
Strong scripting skill in Shell, Python or Ruby
Strong understanding of computer science fundamentals such as data structures (trees, graphs, hash tables)
Deep understanding of functioning and implementation of basic algorithms such as sorts, searching and the capability to explain performance characteristics and complexity using Big-O notations
Capability to independently debug problems and analyze logs in production systems
Capability to read existing code
BS in Computer Science (Masters Degree preferred)
 Desired Skillsets
Strong leadership skills
Track record of developing products in an Agile development environment
Experience working in a CI/CD environment
Understanding of Git and development activities such as merge, conflict resolution of code
Deep understanding and experience in Docker, Kubernetes and AWS cloud services
 Location: Memphis, TN
Type: Full Time",208698268,"memphis, TN",OSI Engineering,"OSI is the premiere Managed Services and Staff Augmentation partner for today's tech leaders and tomorrow's luminaries. With over 20 years of experience, we bring expert knowledge of today's emerging technologies and deep relationships with the world's biggest, brightest, & boldest players to help you tackle employment demands with a targeted array of talent solutions.
We've been the trusted source for personalized, hands-on attention to your needs, creating partnerships designed to exceed our clients’ expectations. We help execute strategic business initiatives, building robust, performance driven teams that ensure speed-to-market and innovation in the critical areas that propel business success.","US, Campbell, California",100 to 499 employees,2010.0,Staffing/Employment Agencies,http://www.OSIengineering.com,SE
Software Development Engineer,"  Software Development Engineer (Lincoln, NE)
 Position Summary:  This role is responsible for planning, designing, developing, debugging, testing, and implementing software and applying knowledge of programming techniques and computer systems. This individual will evaluate requests for new or modified software applications and develop client partnerships by consulting with customers to identify current operating procedures and clarify objectives for automating and streamlining processes. An individual in this position should actively research, evaluate, and implement emerging technologies, frameworks, and practices toward building secure applications.
 Qualifications:
Bachelor’s degree in Computer Science or related field; equivalency considered
Three years information systems experience; required
Proficient in multiple programming languages and systems common to the job domain; required
PHP and MySQL experience; required
Must have excellent written/verbal communications and interpersonal skills with proven ability to initiate and facilitate team oriented involvement and discussions; required
Demonstrated experience organizing tasks and deliverables; preferred
Experience in a higher education environment; preferred
HTML 5,CSS 3, jQuery,and responsive design experience; desirable
 Salary: $64,000/year minimum
    ",217112043,"Lincoln, NE 68588",University of Nebraska Lincoln,,,,,,,SE
SDET - Software Development Engineer in Test,"Job Title: SDET - Software Development Engineer in Test
Location: Boston, MA

Required Education and Experience:

• 5 years of relevant experience and a Bachelor's Degree in Computer Science, a related field or equivalent experience.
• 3 years of relevant experience and a Master’s Degree in Computer Science, a related field or equivalent experience.

Required Skills:

• 5+ years of experience in software testing
• 5+ years of scripting experience with Python
• 3+ years of experience developing automated test infrastructures (i.e. Selenium, Protractor)
• 1+ year of experience with networking protocols (i.e. HTTP, HTTPS, etc.)

Desired Skills:

• Experience with programming languages such as Java and JavaScript
• Security domain knowledge
• The ability to manage and prioritize your own workload effectively
• Knowledge of Docker, Docker Compose or Docker Kubernetes
• Highly responsible, self-disciplined, self-managed, self-motivated, able to work with little or no supervision
• Passion to understand, learn, and dissect new technologies quickly on your own.
• Extensive experience working on multiple projects at a time in a fast-paced, results-oriented environment
• Experience in Data Science, Machine Learning, Math and Statistics",217274381,"Boston, MA 02101",AIT Global Inc,,,,,,,SE
Cloud Software Engineer,"Position Summary:
 Job Title: Cloud Software Engineer
Duration: 6 Months Contract (Strong Possibility for extension)
Location: Bellevue, WA
 NOTE – All Visas accepted, we can work on W2 OR C2C

Position Description:
 We are seeking a Cloud Software Engineer to build and operate highly scalable, fault tolerant, elastic, and secure services in a distributed system of hardware with varying reliability guarantees.
 Required qualifications
Bachelor's degree in computer science or related field or equivalent experience
Hands-on software development experience
Strong computer science fundamentals in data structures, algorithm design, and complexity analysis
Demonstrated proficiency with at least one modern general-purpose programming languages like Java, C++, Go, Python, Typescript/NodeJS etc
Working proficiency and communication skills in verbal and written English
Experience designing, building, and operating distributed complex software systems
Ability to take a project from scoping requirements through actual launch of the project
Experience with Cloud services like AWS, Azure or GCP
 Preferred qualifications
Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy
Experience influencing software engineering best practices within your team
Familiarity with dev-ops software development methods
Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Experience with Teradata technologies
Knowledge of relational database engines
Experience with Docker container related technologies like Kubernetes, Mesos, etc.
Experience working with large data sets including NoSQL data stores
Familiarity with big data analytic engines like Hadoop
Experience with supporting mission critical, 24x7 systems
Familiarity with Networking concepts and configuring/troubleshooting network routes in Azure deployments
Experience with automated deployments and source code / configuration management tools - GitHub, AWS CloudFormation, Jenkins, Chef, Ansible, Puppet, Vagrant, Terraform, etc.
At least 2 years of hands-on software development experience

What are the top 3 qualifications you’re looking for?: Coding Skills, Knowledge of Cloud Platforms and Automation skills",217278497,"Bellevue, WA 98005",Abacus Service Operation,,,,,,,SE
Software Engineer,"Watervliet, NY, & various unanticipated client sites throughout US. Design, develop, and configure computer software systems and datasets according to client specifications; write program specifications, forms, microservices, and interfaces; test new interfaces to optimize computer system workflow; generate end-user feedback and implement changes; and, test to ensure integration and application deployments. Write complex queries and analyze large amounts of data for data visualization. Use various technologies like Java/J2EE, Hadoop, Spark, Hive, SQL, NoSQL, REST API, and Tableau. Develop user interfaces using React JS, jQuery, JSP, HTML, DHTML, XHTML, CSS, and JavaScript. Work on cloud deployments using AWS tools. Work independently, preparing project status reports & formal presentations as required. Requires minimum of MS or equiv. in CS, CIS, IT related Engineering, or related. Extended travel and/or relocation. Mail resumes to: Hysphere, Inc., Job SEJ, 44 Dalliba Ave, Suite 213, Watervliet, NY 12189.",216736083,"Watervliet, NY 12189",Hysphere Inc.,,,,,,,SE
Systems Engineer/Administrator,"Systems Engineer/Administrator
GERMANY
 DESCRIPTION
Support the acquisition, planning, integration, implementation, and accreditation of a specified system.
Assist Information Systems Security Manager (ISSM) and Information Systems Security Officer (ISSO) in provided systems security management, technical analysis, and documentation support.
Assist Xacta process as Information Systems Security Engineer (ISSE) and upload/perform tasks as required to secure system ATO
Design, manage, maintain, install, and implement new configuration management requirements on all systems.
Provide system engineering, integration and administration support for system architectures.
Coordinate with relevant personnel to develop, review and update hardware baselines, technical procedures, diagrams, operating instructions and technical recommendations on a quarterly basis or upon request of the Government.
Coordinate the installation and operation of systems with the host unit, planners, and external system program offices.
Provide system administration and maintenance support.
Install, configure, maintain, monitor, and troubleshoot system and applications software, system components, and peripheral interfaces in a multi-platform environment (SUN, UNIX, and Windows).
Implement computer system security procedures.
Install, manage, and maintain Assured Compliance Assessment Solution (ACAS) and Host-Based Security System (HBSS) for all project domains
Conduct regular vulnerability and compliance scans for all systems to include servers, desktops, and laptops.
Diagnose and resolve system hardware, software, firmware problems.
Analyze system faults, troubleshoot, and run diagnostic tests on operating systems and hardware to detect problems.
Manage and administer client user accounts, organizational client device accounts, file permissions, and print queues.
Load and configure software packages, updates, and patches.
Perform system backups.
Provide technical support to include troubleshooting user operating problems, application problems, system configuration issues and malfunctions, and network operating problems
Perform software maintenance comprised of: running utility software, isolating client, server, or peripheral configuration problems, cleaning file systems of extraneous temporary and log files, maintaining the approved system baseline.
Troubleshoot network systems, and peripheral interfaces in a multi-platform environment (SUN, UNIX, Windows).
Document support provided including system supported, issues encountered, current status and projected or actual completion date and provide to the COR monthly.
REQUIREMENTS
Required Experience
In-depth knowledge of server operating systems, UNIX, LINUX, as well as applications, MySQL, Apache, and SELinux software.
Must be familiar with the LINUX file system, Java regex and Red Hat.
Knowledge of life-cycle management of Local Area Network (LAN)/Wide Area Network (WAN), test and evaluation, data performance and collection, quality assurance metrics and Microsoft Office applications.
CompTIA Security+ certification or equivalent IAT Level II certification and CCNA Routing and Switching certification
Experience with Linux/UNIX and network layer 2/3 troubleshooting is desired.
Knowledge of firewalls and guards desired
Shell scripting expertise desired
Must have an active TS/SCI security clearance
Depending on education you must have 4-11 years recent experience in telecommunications and/or network engineering on a military network environment with emphasis on military (US/NATO) operations.
In-depth knowledge of server
Level I : Must have at least 10 years’ experience w/ a HS diploma OR 6 years with a Bachelor’s degree OR 3 years with a Master’s Degree
Level II: Must have at least 13 years’ experience w/ a HS diploma OR 9 years with a Bachelor’s degree OR 6 years with a Master’s Degree
Level III: Level II: Must have at least 15 years’ experience w/ a HS diploma OR 11 years with a Bachelor’s degree OR 8 years with a Master’s (degree must be in computer science, engineering, information management or related discipline)",216944030,"Munich, Berlin",Mission Essential,,,,,,,SE
Software Engineer,"Global Infotech Inc. is looking for a qualified individuals to fill the role of a Software Engineer.
Location: Schaumburg IL, and Unanticipated Client Locations.

Responsibilities:
Very good understanding of Guidewire framework, implementation, and components.
Deep understanding and implementation experience of Policy Center. 
Implementation of Rules (including UI Validation) using GOSU scripting.
Metadata Configuration of Rules (including UI Validation).
Integration with External Systems (Rating, Customer Data etc.,) using GOSU scripting and Guidewire Platform supported integration techniques.
Unit and Functional Tests for all the custom GOSU scripting.
Requirements :
Experience in Guidewire development specifically Policy Center
Java 8 programming experience
Working on Agile methodology.
Very good communication.
Deep understanding on application development and life cycle.
Experience in Insurance domain, preferably in Property & Casualty.
Education: Master's/Bachelor's degree in computer science or Information technology or related field with Industry experience
Travel: Need to travel to different client locations on need basis.100% travel required.",215664830,"SCHAUMBURG, IL 60195",Global Infotech Inc,,,,,,,SE
Software Engineer,"ENGINEERING-
Juniper Networks in Sunnyvale, CA seeks Software Engineer: Design and develop Packet Forwarding Software for Juniper ASIC (application-specific integrated circuit) based routers and switches. Develop, test and debug Layer 3 features for QFX and PTX series. Mail single-sided resume (must reference job code #52363) to Juniper, Attn.: MS A.4.410, 1133 Innovation Wy., Sunnyvale, CA 94089.",217257961,"Sunnyvale, CA 94089",Juniper Networks,,,,,,,SE
